NAME	DATE	YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
20AN4F03	22.09.2020	2020	266	16	24	35	48	1380043.292	10624508.86
20AN4F03	22.09.2020	2020	266	16	24	37	49	1380046.509	10624504.98
20AN4F03	22.09.2020	2020	266	16	24	39	51	1380049.631	10624501.21
20AN4F03	22.09.2020	2020	266	16	24	41	52	1380052.761	10624497.43
20AN4F03	22.09.2020	2020	266	16	24	43	54	1380055.891	10624493.65
20AN4F03	22.09.2020	2020	266	16	24	45	56	1380059.019	10624489.87
20AN4F03	22.09.2020	2020	266	16	24	47	57	1380062.152	10624486.09
20AN4F03	22.09.2020	2020	266	16	24	49	59	1380065.284	10624482.31
20AN4F03	22.09.2020	2020	266	16	24	51	60	1380068.419	10624478.52
20AN4F03	22.09.2020	2020	266	16	24	53	62	1380071.561	10624474.73
20AN4F03	22.09.2020	2020	266	16	24	55	64	1380074.704	10624470.93
20AN4F03	22.09.2020	2020	266	16	24	57	65	1380077.838	10624467.15
20AN4F03	22.09.2020	2020	266	16	24	59	67	1380080.962	10624463.33
20AN4F03	22.09.2020	2020	266	16	25	1	68	1380084.145	10624459.53
20AN4F03	22.09.2020	2020	266	16	25	3	70	1380087.298	10624455.74
20AN4F03	22.09.2020	2020	266	16	25	5	71	1380090.399	10624451.88
20AN4F03	22.09.2020	2020	266	16	25	7	73	1380093.483	10624448.05
20AN4F03	22.09.2020	2020	266	16	25	9	75	1380096.613	10624444.23
20AN4F03	22.09.2020	2020	266	16	25	11	76	1380099.734	10624440.41
20AN4F03	22.09.2020	2020	266	16	25	13	78	1380102.789	10624436.58
20AN4F03	22.09.2020	2020	266	16	25	15	79	1380105.879	10624432.77
20AN4F03	22.09.2020	2020	266	16	25	17	81	1380109.009	10624429.01
20AN4F03	22.09.2020	2020	266	16	25	19	82	1380112.1	10624425.17
20AN4F03	22.09.2020	2020	266	16	25	21	84	1380115.154	10624421.31
20AN4F03	22.09.2020	2020	266	16	25	23	86	1380118.217	10624417.49
20AN4F03	22.09.2020	2020	266	16	25	25	87	1380121.289	10624413.65
20AN4F03	22.09.2020	2020	266	16	25	27	89	1380124.329	10624409.77
20AN4F03	22.09.2020	2020	266	16	25	29	90	1380127.332	10624405.83
20AN4F03	22.09.2020	2020	266	16	25	31	92	1380130.345	10624401.94
20AN4F03	22.09.2020	2020	266	16	25	33	93	1380133.359	10624398.06
20AN4F03	22.09.2020	2020	266	16	25	35	95	1380136.349	10624394.15
20AN4F03	22.09.2020	2020	266	16	25	37	97	1380139.333	10624390.19
20AN4F03	22.09.2020	2020	266	16	25	39	98	1380142.336	10624386.25
