YEAR	DAY	HOUR	MINUTE	SECOND	FFID	SOU_X	SOU_Y
2020	283	17	15	40	559800001	620808.29000	10643188.48000
2020	283	17	15	40	559800002	620807.82000	10643189.04000
2020	283	17	15	40	559800003	620807.35000	10643189.60000
2020	283	17	15	40	559800004	620806.88000	10643190.16000
2020	283	17	15	40	559800005	620806.41000	10643190.73000
2020	283	17	15	40	559800006	620805.94000	10643191.29000
2020	283	17	15	40	559800007	620805.47000	10643191.85000
2020	283	17	15	42	559800008	620805.00000	10643192.42000
2020	283	17	15	42	559800009	620804.77000	10643192.64000
2020	283	17	15	42	559800010	620804.54000	10643192.87000
2020	283	17	15	42	559800011	620804.31000	10643193.10000
2020	283	17	15	42	559800012	620804.08000	10643193.33000
2020	283	17	15	42	559800013	620803.85000	10643193.56000
2020	283	17	15	43	559800014	620803.62000	10643193.78000
2020	283	17	15	43	559800015	620803.43000	10643194.00000
2020	283	17	15	43	559800016	620803.25000	10643194.21000
2020	283	17	15	43	559800017	620803.07000	10643194.42000
2020	283	17	15	43	559800018	620802.89000	10643194.64000
2020	283	17	15	43	559800019	620802.71000	10643194.85000
2020	283	17	15	43	559800020	620802.53000	10643195.06000
2020	283	17	15	44	559800021	620802.35000	10643195.27000
2020	283	17	15	44	559800022	620802.12000	10643195.58000
2020	283	17	15	44	559800023	620801.90000	10643195.89000
2020	283	17	15	44	559800024	620801.68000	10643196.20000
2020	283	17	15	44	559800025	620801.46000	10643196.51000
2020	283	17	15	44	559800026	620801.24000	10643196.82000
2020	283	17	15	45	559800027	620801.02000	10643197.13000
2020	283	17	15	45	559800028	620800.79000	10643197.43000
2020	283	17	15	45	559800029	620800.56000	10643197.73000
2020	283	17	15	45	559800030	620800.34000	10643198.03000
2020	283	17	15	45	559800031	620800.11000	10643198.34000
2020	283	17	15	45	559800032	620799.89000	10643198.64000
2020	283	17	15	45	559800033	620799.66000	10643198.94000
2020	283	17	15	46	559800034	620799.43000	10643199.25000
2020	283	17	15	46	559800035	620799.16000	10643199.59000
2020	283	17	15	46	559800036	620798.88000	10643199.93000
2020	283	17	15	46	559800037	620798.61000	10643200.28000
2020	283	17	15	46	559800038	620798.33000	10643200.62000
2020	283	17	15	46	559800039	620798.06000	10643200.96000
2020	283	17	15	47	559800040	620797.79000	10643201.31000
2020	283	17	15	47	559800041	620797.56000	10643201.57000
2020	283	17	15	47	559800042	620797.33000	10643201.84000
2020	283	17	15	47	559800043	620797.11000	10643202.10000
2020	283	17	15	47	559800044	620796.88000	10643202.37000
2020	283	17	15	47	559800045	620796.66000	10643202.63000
2020	283	17	15	47	559800046	620796.43000	10643202.90000
2020	283	17	15	48	559800047	620796.21000	10643203.17000
2020	283	17	15	48	559800048	620795.97000	10643203.45000
2020	283	17	15	48	559800049	620795.74000	10643203.74000
2020	283	17	15	48	559800050	620795.51000	10643204.03000
2020	283	17	15	48	559800051	620795.27000	10643204.32000
2020	283	17	15	48	559800052	620795.04000	10643204.61000
2020	283	17	15	49	559800053	620794.81000	10643204.90000
2020	283	17	15	49	559800054	620794.62000	10643205.14000
2020	283	17	15	49	559800055	620794.43000	10643205.38000
2020	283	17	15	49	559800056	620794.24000	10643205.63000
2020	283	17	15	49	559800057	620794.06000	10643205.87000
2020	283	17	15	49	559800058	620793.87000	10643206.12000
2020	283	17	15	49	559800059	620793.68000	10643206.36000
2020	283	17	15	50	559800060	620793.50000	10643206.61000
2020	283	17	15	50	559800061	620793.27000	10643206.90000
2020	283	17	15	50	559800062	620793.04000	10643207.19000
2020	283	17	15	50	559800063	620792.81000	10643207.48000
2020	283	17	15	50	559800064	620792.58000	10643207.78000
2020	283	17	15	50	559800065	620792.35000	10643208.07000
2020	283	17	15	51	559800066	620792.13000	10643208.36000
2020	283	17	15	51	559800067	620791.88000	10643208.66000
2020	283	17	15	51	559800068	620791.63000	10643208.96000
2020	283	17	15	51	559800069	620791.38000	10643209.26000
2020	283	17	15	51	559800070	620791.13000	10643209.56000
2020	283	17	15	51	559800071	620790.88000	10643209.86000
2020	283	17	15	52	559800072	620790.64000	10643210.16000
2020	283	17	15	52	559800073	620790.41000	10643210.42000
2020	283	17	15	52	559800074	620790.18000	10643210.68000
2020	283	17	15	52	559800075	620789.96000	10643210.94000
2020	283	17	15	52	559800076	620789.73000	10643211.19000
2020	283	17	15	52	559800077	620789.51000	10643211.45000
2020	283	17	15	52	559800078	620789.28000	10643211.71000
2020	283	17	15	53	559800079	620789.06000	10643211.98000
2020	283	17	15	53	559800080	620788.79000	10643212.29000
2020	283	17	15	53	559800081	620788.53000	10643212.61000
2020	283	17	15	53	559800082	620788.27000	10643212.93000
2020	283	17	15	53	559800083	620788.01000	10643213.25000
2020	283	17	15	53	559800084	620787.75000	10643213.57000
2020	283	17	15	54	559800085	620787.49000	10643213.89000
2020	283	17	15	54	559800086	620787.27000	10643214.18000
2020	283	17	15	54	559800087	620787.05000	10643214.46000
2020	283	17	15	54	559800088	620786.84000	10643214.75000
2020	283	17	15	54	559800089	620786.62000	10643215.04000
2020	283	17	15	54	559800090	620786.41000	10643215.33000
2020	283	17	15	54	559800091	620786.19000	10643215.62000
2020	283	17	15	55	559800092	620785.98000	10643215.92000
2020	283	17	15	55	559800093	620785.74000	10643216.24000
2020	283	17	15	55	559800094	620785.51000	10643216.56000
2020	283	17	15	55	559800095	620785.28000	10643216.89000
2020	283	17	15	55	559800096	620785.05000	10643217.21000
2020	283	17	15	55	559800097	620784.82000	10643217.53000
2020	283	17	15	56	559800098	620784.59000	10643217.86000
2020	283	17	15	56	559800099	620784.36000	10643218.15000
2020	283	17	15	56	559800100	620784.13000	10643218.44000
2020	283	17	15	56	559800101	620783.90000	10643218.73000
2020	283	17	15	56	559800102	620783.67000	10643219.02000
2020	283	17	15	56	559800103	620783.44000	10643219.31000
2020	283	17	15	57	559800104	620783.22000	10643219.61000
2020	283	17	15	57	559800105	620783.02000	10643219.83000
2020	283	17	15	57	559800106	620782.82000	10643220.06000
2020	283	17	15	57	559800107	620782.63000	10643220.29000
2020	283	17	15	57	559800108	620782.43000	10643220.52000
2020	283	17	15	57	559800109	620782.24000	10643220.75000
2020	283	17	15	57	559800110	620782.04000	10643220.98000
2020	283	17	15	58	559800111	620781.85000	10643221.21000
2020	283	17	15	58	559800112	620781.61000	10643221.50000
2020	283	17	15	58	559800113	620781.38000	10643221.79000
2020	283	17	15	58	559800114	620781.14000	10643222.08000
2020	283	17	15	58	559800115	620780.91000	10643222.37000
2020	283	17	15	58	559800116	620780.67000	10643222.66000
2020	283	17	15	59	559800117	620780.43000	10643222.96000
