YEAR	DAY	HOUR	MINUTE	SECOND	FFID	SOU_X	SOU_Y
2020	285	15	44	10	671360001	625100.68000	10664902.89000
2020	285	15	44	10	671360002	625101.32000	10664903.32000
2020	285	15	44	10	671360003	625101.95000	10664903.76000
2020	285	15	44	10	671360004	625102.58000	10664904.20000
2020	285	15	44	10	671360005	625103.22000	10664904.64000
2020	285	15	44	10	671360006	625103.85000	10664905.08000
2020	285	15	44	10	671360007	625104.48000	10664905.52000
2020	285	15	44	12	671360008	625105.12000	10664905.96000
2020	285	15	44	12	671360009	625105.54000	10664906.22000
2020	285	15	44	12	671360010	625105.96000	10664906.49000
2020	285	15	44	12	671360011	625106.38000	10664906.76000
2020	285	15	44	12	671360012	625106.80000	10664907.03000
2020	285	15	44	13	671360013	625107.22000	10664907.30000
2020	285	15	44	13	671360014	625107.53000	10664907.49000
2020	285	15	44	13	671360015	625107.84000	10664907.69000
2020	285	15	44	13	671360016	625108.16000	10664907.89000
2020	285	15	44	13	671360017	625108.47000	10664908.08000
2020	285	15	44	13	671360018	625108.78000	10664908.28000
2020	285	15	44	14	671360019	625109.10000	10664908.48000
2020	285	15	44	14	671360020	625109.44000	10664908.71000
2020	285	15	44	14	671360021	625109.79000	10664908.94000
2020	285	15	44	14	671360022	625110.13000	10664909.18000
2020	285	15	44	14	671360023	625110.48000	10664909.41000
2020	285	15	44	15	671360024	625110.82000	10664909.65000
2020	285	15	44	15	671360025	625111.20000	10664909.91000
2020	285	15	44	15	671360026	625111.58000	10664910.17000
2020	285	15	44	15	671360027	625111.96000	10664910.43000
2020	285	15	44	15	671360028	625112.34000	10664910.69000
2020	285	15	44	16	671360029	625112.72000	10664910.96000
2020	285	15	44	16	671360030	625113.09000	10664911.21000
2020	285	15	44	16	671360031	625113.47000	10664911.47000
2020	285	15	44	16	671360032	625113.85000	10664911.72000
2020	285	15	44	16	671360033	625114.22000	10664911.98000
2020	285	15	44	16	671360034	625114.60000	10664912.24000
2020	285	15	44	17	671360035	625114.98000	10664912.50000
2020	285	15	44	17	671360036	625115.42000	10664912.79000
2020	285	15	44	17	671360037	625115.87000	10664913.08000
2020	285	15	44	17	671360038	625116.32000	10664913.37000
2020	285	15	44	17	671360039	625116.77000	10664913.66000
2020	285	15	44	18	671360040	625117.22000	10664913.96000
2020	285	15	44	18	671360041	625117.74000	10664914.29000
2020	285	15	44	18	671360042	625118.27000	10664914.62000
2020	285	15	44	18	671360043	625118.79000	10664914.95000
2020	285	15	44	18	671360044	625119.32000	10664915.28000
2020	285	15	44	19	671360045	625119.85000	10664915.61000
2020	285	15	44	19	671360046	625120.19000	10664915.81000
2020	285	15	44	19	671360047	625120.53000	10664916.01000
2020	285	15	44	19	671360048	625120.88000	10664916.21000
2020	285	15	44	19	671360049	625121.22000	10664916.42000
2020	285	15	44	19	671360050	625121.56000	10664916.62000
2020	285	15	44	20	671360051	625121.91000	10664916.83000
2020	285	15	44	20	671360052	625122.27000	10664917.03000
2020	285	15	44	20	671360053	625122.63000	10664917.24000
2020	285	15	44	20	671360054	625123.00000	10664917.45000
2020	285	15	44	20	671360055	625123.36000	10664917.66000
2020	285	15	44	21	671360056	625123.73000	10664917.86000
2020	285	15	44	21	671360057	625124.08000	10664918.10000
2020	285	15	44	21	671360058	625124.44000	10664918.34000
2020	285	15	44	21	671360059	625124.79000	10664918.57000
2020	285	15	44	21	671360060	625125.15000	10664918.81000
2020	285	15	44	22	671360061	625125.51000	10664919.05000
2020	285	15	44	22	671360062	625125.84000	10664919.28000
2020	285	15	44	22	671360063	625126.17000	10664919.52000
2020	285	15	44	22	671360064	625126.51000	10664919.76000
2020	285	15	44	22	671360065	625126.84000	10664919.99000
2020	285	15	44	22	671360066	625127.18000	10664920.23000
2020	285	15	44	23	671360067	625127.52000	10664920.47000
2020	285	15	44	23	671360068	625127.96000	10664920.77000
2020	285	15	44	23	671360069	625128.40000	10664921.07000
2020	285	15	44	23	671360070	625128.84000	10664921.37000
2020	285	15	44	23	671360071	625129.28000	10664921.67000
2020	285	15	44	24	671360072	625129.73000	10664921.97000
2020	285	15	44	24	671360073	625130.11000	10664922.20000
2020	285	15	44	24	671360074	625130.49000	10664922.44000
2020	285	15	44	24	671360075	625130.87000	10664922.68000
2020	285	15	44	24	671360076	625131.25000	10664922.91000
2020	285	15	44	24	671360077	625131.63000	10664923.15000
2020	285	15	44	25	671360078	625132.01000	10664923.39000
2020	285	15	44	25	671360079	625132.46000	10664923.65000
2020	285	15	44	25	671360080	625132.90000	10664923.91000
2020	285	15	44	25	671360081	625133.35000	10664924.17000
2020	285	15	44	25	671360082	625133.80000	10664924.43000
2020	285	15	44	26	671360083	625134.26000	10664924.69000
2020	285	15	44	26	671360084	625134.69000	10664924.94000
2020	285	15	44	26	671360085	625135.13000	10664925.20000
2020	285	15	44	26	671360086	625135.56000	10664925.46000
2020	285	15	44	26	671360087	625136.00000	10664925.72000
2020	285	15	44	27	671360088	625136.43000	10664925.99000
2020	285	15	44	27	671360089	625136.84000	10664926.26000
2020	285	15	44	27	671360090	625137.24000	10664926.52000
2020	285	15	44	27	671360091	625137.64000	10664926.79000
2020	285	15	44	27	671360092	625138.04000	10664927.06000
2020	285	15	44	28	671360093	625138.43000	10664927.34000
2020	285	15	44	28	671360094	625138.75000	10664927.56000
2020	285	15	44	28	671360095	625139.07000	10664927.78000
2020	285	15	44	28	671360096	625139.38000	10664928.01000
2020	285	15	44	28	671360097	625139.70000	10664928.23000
2020	285	15	44	28	671360098	625140.02000	10664928.46000
2020	285	15	44	29	671360099	625140.34000	10664928.69000
2020	285	15	44	29	671360100	625140.74000	10664928.95000
2020	285	15	44	29	671360101	625141.15000	10664929.22000
2020	285	15	44	29	671360102	625141.55000	10664929.49000
2020	285	15	44	29	671360103	625141.96000	10664929.76000
2020	285	15	44	30	671360104	625142.37000	10664930.02000
2020	285	15	44	30	671360105	625142.80000	10664930.29000
2020	285	15	44	30	671360106	625143.24000	10664930.56000
2020	285	15	44	30	671360107	625143.68000	10664930.82000
2020	285	15	44	30	671360108	625144.12000	10664931.09000
2020	285	15	44	31	671360109	625144.56000	10664931.36000
2020	285	15	44	31	671360110	625144.94000	10664931.57000
2020	285	15	44	31	671360111	625145.31000	10664931.79000
2020	285	15	44	31	671360112	625145.69000	10664932.01000
2020	285	15	44	31	671360113	625146.06000	10664932.23000
2020	285	15	44	31	671360114	625146.44000	10664932.45000
2020	285	15	44	32	671360115	625146.81000	10664932.67000
2020	285	15	44	32	671360116	625147.23000	10664932.94000
2020	285	15	44	32	671360117	625147.64000	10664933.20000
2020	285	15	44	32	671360118	625148.06000	10664933.47000
2020	285	15	44	32	671360119	625148.47000	10664933.74000
2020	285	15	44	33	671360120	625148.89000	10664934.02000
2020	285	15	44	33	671360121	625149.21000	10664934.25000
2020	285	15	44	33	671360122	625149.53000	10664934.49000
2020	285	15	44	33	671360123	625149.85000	10664934.73000
2020	285	15	44	33	671360124	625150.17000	10664934.97000
2020	285	15	44	33	671360125	625150.49000	10664935.21000
2020	285	15	44	34	671360126	625150.81000	10664935.44000
2020	285	15	44	34	671360127	625151.20000	10664935.73000
2020	285	15	44	34	671360128	625151.59000	10664936.01000
2020	285	15	44	34	671360129	625151.98000	10664936.30000
2020	285	15	44	34	671360130	625152.37000	10664936.58000
2020	285	15	44	35	671360131	625152.76000	10664936.86000
2020	285	15	44	35	671360132	625153.18000	10664937.13000
2020	285	15	44	35	671360133	625153.60000	10664937.40000
2020	285	15	44	35	671360134	625154.02000	10664937.67000
2020	285	15	44	35	671360135	625154.44000	10664937.94000
2020	285	15	44	36	671360136	625154.87000	10664938.21000
2020	285	15	44	36	671360137	625155.23000	10664938.43000
2020	285	15	44	36	671360138	625155.60000	10664938.65000
2020	285	15	44	36	671360139	625155.96000	10664938.87000
2020	285	15	44	36	671360140	625156.32000	10664939.10000
2020	285	15	44	36	671360141	625156.69000	10664939.32000
2020	285	15	44	37	671360142	625157.06000	10664939.55000
2020	285	15	44	37	671360143	625157.50000	10664939.83000
2020	285	15	44	37	671360144	625157.94000	10664940.11000
2020	285	15	44	37	671360145	625158.38000	10664940.39000
2020	285	15	44	37	671360146	625158.82000	10664940.67000
2020	285	15	44	38	671360147	625159.27000	10664940.96000
2020	285	15	44	38	671360148	625159.70000	10664941.26000
2020	285	15	44	38	671360149	625160.13000	10664941.56000
2020	285	15	44	38	671360150	625160.56000	10664941.86000
2020	285	15	44	38	671360151	625160.99000	10664942.16000
2020	285	15	44	39	671360152	625161.43000	10664942.46000
2020	285	15	44	39	671360153	625161.76000	10664942.69000
2020	285	15	44	39	671360154	625162.10000	10664942.93000
2020	285	15	44	39	671360155	625162.44000	10664943.17000
2020	285	15	44	39	671360156	625162.78000	10664943.41000
2020	285	15	44	39	671360157	625163.12000	10664943.65000
2020	285	15	44	40	671360158	625163.46000	10664943.89000
2020	285	15	44	40	671360159	625163.83000	10664944.14000
2020	285	15	44	40	671360160	625164.21000	10664944.40000
2020	285	15	44	40	671360161	625164.58000	10664944.66000
2020	285	15	44	40	671360162	625164.96000	10664944.92000
2020	285	15	44	41	671360163	625165.34000	10664945.18000
2020	285	15	44	41	671360164	625165.65000	10664945.39000
2020	285	15	44	41	671360165	625165.96000	10664945.60000
2020	285	15	44	41	671360166	625166.28000	10664945.81000
2020	285	15	44	41	671360167	625166.59000	10664946.02000
2020	285	15	44	41	671360168	625166.90000	10664946.23000
2020	285	15	44	42	671360169	625167.22000	10664946.44000
2020	285	15	44	42	671360170	625167.63000	10664946.70000
2020	285	15	44	42	671360171	625168.05000	10664946.97000
2020	285	15	44	42	671360172	625168.47000	10664947.24000
2020	285	15	44	42	671360173	625168.89000	10664947.51000
2020	285	15	44	43	671360174	625169.31000	10664947.78000
2020	285	15	44	43	671360175	625169.76000	10664948.08000
2020	285	15	44	43	671360176	625170.21000	10664948.37000
2020	285	15	44	43	671360177	625170.65000	10664948.67000
2020	285	15	44	43	671360178	625171.10000	10664948.96000
2020	285	15	44	44	671360179	625171.56000	10664949.26000
2020	285	15	44	44	671360180	625171.92000	10664949.51000
2020	285	15	44	44	671360181	625172.28000	10664949.77000
2020	285	15	44	44	671360182	625172.64000	10664950.03000
2020	285	15	44	44	671360183	625173.00000	10664950.29000
2020	285	15	44	44	671360184	625173.36000	10664950.55000
2020	285	15	44	45	671360185	625173.72000	10664950.81000
2020	285	15	44	45	671360186	625174.12000	10664951.10000
2020	285	15	44	45	671360187	625174.52000	10664951.40000
2020	285	15	44	45	671360188	625174.92000	10664951.69000
2020	285	15	44	45	671360189	625175.32000	10664951.99000
2020	285	15	44	46	671360190	625175.73000	10664952.28000
2020	285	15	44	46	671360191	625176.12000	10664952.56000
2020	285	15	44	46	671360192	625176.52000	10664952.83000
2020	285	15	44	46	671360193	625176.91000	10664953.10000
2020	285	15	44	46	671360194	625177.31000	10664953.37000
2020	285	15	44	47	671360195	625177.71000	10664953.65000
2020	285	15	44	47	671360196	625178.11000	10664953.91000
2020	285	15	44	47	671360197	625178.52000	10664954.17000
2020	285	15	44	47	671360198	625178.93000	10664954.43000
2020	285	15	44	47	671360199	625179.34000	10664954.69000
2020	285	15	44	48	671360200	625179.75000	10664954.96000
2020	285	15	44	48	671360201	625180.10000	10664955.18000
2020	285	15	44	48	671360202	625180.46000	10664955.40000
2020	285	15	44	48	671360203	625180.81000	10664955.62000
2020	285	15	44	48	671360204	625181.16000	10664955.85000
2020	285	15	44	48	671360205	625181.52000	10664956.07000
2020	285	15	44	49	671360206	625181.88000	10664956.30000
2020	285	15	44	49	671360207	625182.30000	10664956.58000
2020	285	15	44	49	671360208	625182.72000	10664956.86000
2020	285	15	44	49	671360209	625183.14000	10664957.15000
2020	285	15	44	49	671360210	625183.56000	10664957.43000
2020	285	15	44	50	671360211	625183.98000	10664957.72000
2020	285	15	44	50	671360212	625184.38000	10664958.01000
2020	285	15	44	50	671360213	625184.79000	10664958.30000
2020	285	15	44	50	671360214	625185.19000	10664958.59000
2020	285	15	44	50	671360215	625185.60000	10664958.88000
2020	285	15	44	51	671360216	625186.01000	10664959.18000
2020	285	15	44	51	671360217	625186.33000	10664959.40000
2020	285	15	44	51	671360218	625186.65000	10664959.63000
2020	285	15	44	51	671360219	625186.98000	10664959.86000
2020	285	15	44	51	671360220	625187.30000	10664960.08000
2020	285	15	44	51	671360221	625187.63000	10664960.31000
2020	285	15	44	52	671360222	625187.96000	10664960.53000
2020	285	15	44	52	671360223	625188.35000	10664960.80000
2020	285	15	44	52	671360224	625188.74000	10664961.07000
