YEAR	DAY	HOUR	MINUTE	SECOND	FFID	SOU_X	SOU_Y
2020	283	22	16	45	571840001	600896.37000	10672520.88000
2020	283	22	16	45	571840002	600896.73000	10672520.57000
2020	283	22	16	45	571840003	600897.10000	10672520.27000
2020	283	22	16	45	571840004	600897.47000	10672519.97000
2020	283	22	16	45	571840005	600897.83000	10672519.67000
2020	283	22	16	45	571840006	600898.20000	10672519.36000
2020	283	22	16	45	571840007	600898.57000	10672519.06000
2020	283	22	16	45	571840008	600898.93000	10672518.76000
2020	283	22	16	45	571840009	600899.30000	10672518.46000
2020	283	22	16	45	571840010	600899.67000	10672518.16000
2020	283	22	16	47	571840011	600900.04000	10672517.86000
2020	283	22	16	47	571840012	600900.27000	10672517.62000
2020	283	22	16	47	571840013	600900.51000	10672517.38000
2020	283	22	16	47	571840014	600900.75000	10672517.14000
2020	283	22	16	47	571840015	600900.99000	10672516.90000
2020	283	22	16	47	571840016	600901.23000	10672516.66000
2020	283	22	16	47	571840017	600901.47000	10672516.42000
2020	283	22	16	48	571840018	600901.71000	10672516.19000
2020	283	22	16	48	571840019	600901.97000	10672515.91000
2020	283	22	16	48	571840020	600902.23000	10672515.63000
2020	283	22	16	48	571840021	600902.49000	10672515.35000
2020	283	22	16	48	571840022	600902.76000	10672515.07000
2020	283	22	16	48	571840023	600903.02000	10672514.79000
2020	283	22	16	49	571840024	600903.29000	10672514.51000
2020	283	22	16	49	571840025	600903.51000	10672514.28000
2020	283	22	16	49	571840026	600903.74000	10672514.05000
2020	283	22	16	49	571840027	600903.97000	10672513.82000
2020	283	22	16	49	571840028	600904.20000	10672513.60000
2020	283	22	16	49	571840029	600904.43000	10672513.37000
2020	283	22	16	49	571840030	600904.66000	10672513.14000
2020	283	22	16	50	571840031	600904.89000	10672512.92000
2020	283	22	16	50	571840032	600905.12000	10672512.71000
2020	283	22	16	50	571840033	600905.36000	10672512.50000
2020	283	22	16	50	571840034	600905.60000	10672512.30000
2020	283	22	16	50	571840035	600905.83000	10672512.09000
2020	283	22	16	50	571840036	600906.07000	10672511.89000
2020	283	22	16	50	571840037	600906.31000	10672511.68000
2020	283	22	16	51	571840038	600906.55000	10672511.48000
2020	283	22	16	51	571840039	600906.84000	10672511.25000
2020	283	22	16	51	571840040	600907.13000	10672511.02000
2020	283	22	16	51	571840041	600907.43000	10672510.78000
2020	283	22	16	51	571840042	600907.72000	10672510.55000
2020	283	22	16	51	571840043	600908.01000	10672510.32000
2020	283	22	16	52	571840044	600908.31000	10672510.10000
2020	283	22	16	52	571840045	600908.57000	10672509.89000
2020	283	22	16	52	571840046	600908.83000	10672509.68000
2020	283	22	16	52	571840047	600909.09000	10672509.47000
2020	283	22	16	52	571840048	600909.36000	10672509.26000
2020	283	22	16	52	571840049	600909.62000	10672509.05000
2020	283	22	16	52	571840050	600909.88000	10672508.84000
2020	283	22	16	53	571840051	600910.15000	10672508.63000
2020	283	22	16	53	571840052	600910.45000	10672508.36000
2020	283	22	16	53	571840053	600910.76000	10672508.09000
2020	283	22	16	53	571840054	600911.06000	10672507.82000
2020	283	22	16	53	571840055	600911.37000	10672507.55000
2020	283	22	16	53	571840056	600911.68000	10672507.28000
2020	283	22	16	54	571840057	600911.99000	10672507.01000
2020	283	22	16	54	571840058	600912.24000	10672506.77000
2020	283	22	16	54	571840059	600912.49000	10672506.53000
2020	283	22	16	54	571840060	600912.74000	10672506.29000
2020	283	22	16	54	571840061	600912.99000	10672506.06000
2020	283	22	16	54	571840062	600913.24000	10672505.82000
2020	283	22	16	54	571840063	600913.49000	10672505.58000
2020	283	22	16	55	571840064	600913.75000	10672505.35000
2020	283	22	16	55	571840065	600914.02000	10672505.08000
2020	283	22	16	55	571840066	600914.30000	10672504.81000
2020	283	22	16	55	571840067	600914.57000	10672504.55000
2020	283	22	16	55	571840068	600914.85000	10672504.28000
2020	283	22	16	55	571840069	600915.12000	10672504.01000
2020	283	22	16	56	571840070	600915.40000	10672503.75000
2020	283	22	16	56	571840071	600915.67000	10672503.50000
2020	283	22	16	56	571840072	600915.94000	10672503.25000
2020	283	22	16	56	571840073	600916.21000	10672503.01000
2020	283	22	16	56	571840074	600916.48000	10672502.76000
2020	283	22	16	56	571840075	600916.75000	10672502.51000
2020	283	22	16	57	571840076	600917.03000	10672502.27000
2020	283	22	16	57	571840077	600917.31000	10672502.02000
2020	283	22	16	57	571840078	600917.59000	10672501.78000
2020	283	22	16	57	571840079	600917.87000	10672501.54000
2020	283	22	16	57	571840080	600918.15000	10672501.30000
2020	283	22	16	57	571840081	600918.43000	10672501.06000
2020	283	22	16	58	571840082	600918.72000	10672500.82000
2020	283	22	16	58	571840083	600919.01000	10672500.56000
2020	283	22	16	58	571840084	600919.30000	10672500.31000
2020	283	22	16	58	571840085	600919.59000	10672500.05000
2020	283	22	16	58	571840086	600919.88000	10672499.80000
2020	283	22	16	58	571840087	600920.17000	10672499.55000
2020	283	22	16	59	571840088	600920.47000	10672499.30000
2020	283	22	16	59	571840089	600920.72000	10672499.07000
2020	283	22	16	59	571840090	600920.97000	10672498.84000
2020	283	22	16	59	571840091	600921.22000	10672498.62000
2020	283	22	16	59	571840092	600921.47000	10672498.39000
2020	283	22	16	59	571840093	600921.72000	10672498.17000
2020	283	22	16	59	571840094	600921.97000	10672497.94000
2020	283	22	17	0	571840095	600922.23000	10672497.72000
2020	283	22	17	0	571840096	600922.56000	10672497.40000
2020	283	22	17	0	571840097	600922.90000	10672497.09000
2020	283	22	17	0	571840098	600923.24000	10672496.78000
2020	283	22	17	0	571840099	600923.58000	10672496.47000
2020	283	22	17	1	571840100	600923.93000	10672496.16000
2020	283	22	17	1	571840101	600924.20000	10672495.91000
2020	283	22	17	1	571840102	600924.48000	10672495.66000
2020	283	22	17	1	571840103	600924.75000	10672495.42000
2020	283	22	17	1	571840104	600925.03000	10672495.17000
2020	283	22	17	1	571840105	600925.30000	10672494.92000
2020	283	22	17	2	571840106	600925.57000	10672494.68000
2020	283	22	17	2	571840107	600925.82000	10672494.46000
2020	283	22	17	2	571840108	600926.07000	10672494.25000
2020	283	22	17	2	571840109	600926.32000	10672494.04000
2020	283	22	17	2	571840110	600926.57000	10672493.82000
2020	283	22	17	2	571840111	600926.82000	10672493.61000
2020	283	22	17	2	571840112	600927.07000	10672493.40000
2020	283	22	17	3	571840113	600927.31000	10672493.19000
2020	283	22	17	3	571840114	600927.62000	10672492.92000
2020	283	22	17	3	571840115	600927.92000	10672492.65000
2020	283	22	17	3	571840116	600928.22000	10672492.38000
2020	283	22	17	3	571840117	600928.52000	10672492.11000
2020	283	22	17	3	571840118	600928.82000	10672491.84000
2020	283	22	17	4	571840119	600929.13000	10672491.57000
2020	283	22	17	4	571840120	600929.42000	10672491.28000
2020	283	22	17	4	571840121	600929.72000	10672491.00000
2020	283	22	17	4	571840122	600930.01000	10672490.72000
2020	283	22	17	4	571840123	600930.31000	10672490.44000
2020	283	22	17	4	571840124	600930.60000	10672490.16000
2020	283	22	17	5	571840125	600930.90000	10672489.88000
2020	283	22	17	5	571840126	600931.18000	10672489.61000
2020	283	22	17	5	571840127	600931.46000	10672489.35000
2020	283	22	17	5	571840128	600931.74000	10672489.08000
2020	283	22	17	5	571840129	600932.02000	10672488.81000
2020	283	22	17	5	571840130	600932.30000	10672488.55000
2020	283	22	17	6	571840131	600932.57000	10672488.28000
2020	283	22	17	6	571840132	600932.85000	10672488.04000
2020	283	22	17	6	571840133	600933.12000	10672487.79000
2020	283	22	17	6	571840134	600933.39000	10672487.55000
2020	283	22	17	6	571840135	600933.67000	10672487.30000
2020	283	22	17	6	571840136	600933.94000	10672487.05000
2020	283	22	17	7	571840137	600934.22000	10672486.81000
2020	283	22	17	7	571840138	600934.50000	10672486.56000
2020	283	22	17	7	571840139	600934.79000	10672486.32000
2020	283	22	17	7	571840140	600935.07000	10672486.07000
2020	283	22	17	7	571840141	600935.36000	10672485.83000
2020	283	22	17	7	571840142	600935.64000	10672485.59000
2020	283	22	17	8	571840143	600935.93000	10672485.35000
2020	283	22	17	8	571840144	600936.18000	10672485.14000
2020	283	22	17	8	571840145	600936.43000	10672484.93000
2020	283	22	17	8	571840146	600936.68000	10672484.72000
2020	283	22	17	8	571840147	600936.93000	10672484.51000
2020	283	22	17	8	571840148	600937.18000	10672484.30000
2020	283	22	17	8	571840149	600937.43000	10672484.09000
2020	283	22	17	9	571840150	600937.68000	10672483.88000
2020	283	22	17	9	571840151	600937.97000	10672483.63000
2020	283	22	17	9	571840152	600938.26000	10672483.39000
2020	283	22	17	9	571840153	600938.55000	10672483.15000
2020	283	22	17	9	571840154	600938.84000	10672482.91000
2020	283	22	17	9	571840155	600939.13000	10672482.67000
2020	283	22	17	10	571840156	600939.43000	10672482.43000
2020	283	22	17	10	571840157	600939.72000	10672482.18000
2020	283	22	17	10	571840158	600940.02000	10672481.93000
2020	283	22	17	10	571840159	600940.31000	10672481.68000
2020	283	22	17	10	571840160	600940.61000	10672481.43000
2020	283	22	17	10	571840161	600940.91000	10672481.18000
2020	283	22	17	11	571840162	600941.21000	10672480.93000
2020	283	22	17	11	571840163	600941.49000	10672480.65000
2020	283	22	17	11	571840164	600941.78000	10672480.38000
2020	283	22	17	11	571840165	600942.07000	10672480.11000
2020	283	22	17	11	571840166	600942.36000	10672479.83000
2020	283	22	17	11	571840167	600942.65000	10672479.56000
2020	283	22	17	12	571840168	600942.93000	10672479.28000
2020	283	22	17	12	571840169	600943.21000	10672479.00000
2020	283	22	17	12	571840170	600943.48000	10672478.71000
2020	283	22	17	12	571840171	600943.75000	10672478.42000
2020	283	22	17	12	571840172	600944.02000	10672478.13000
2020	283	22	17	12	571840173	600944.29000	10672477.84000
2020	283	22	17	13	571840174	600944.56000	10672477.56000
