YEAR	DAY	HOUR	MINUTE	SECOND	FFID	SOU_X	SOU_Y
2020	284	6	26	29	591440001	612273.11000	10638671.07000
2020	284	6	26	29	591440002	612272.76000	10638671.52000
2020	284	6	26	29	591440003	612272.41000	10638671.97000
2020	284	6	26	29	591440004	612272.07000	10638672.42000
2020	284	6	26	29	591440005	612271.72000	10638672.87000
2020	284	6	26	29	591440006	612271.38000	10638673.32000
2020	284	6	26	29	591440007	612271.03000	10638673.77000
2020	284	6	26	29	591440008	612270.69000	10638674.23000
2020	284	6	26	29	591440009	612270.34000	10638674.68000
2020	284	6	26	29	591440010	612270.00000	10638675.13000
2020	284	6	26	29	591440011	612269.65000	10638675.58000
2020	284	6	26	29	591440012	612269.31000	10638676.03000
2020	284	6	26	29	591440013	612268.96000	10638676.48000
2020	284	6	26	32	591440014	612268.62000	10638676.94000
2020	284	6	26	32	591440015	612268.39000	10638677.21000
2020	284	6	26	32	591440016	612268.17000	10638677.49000
2020	284	6	26	32	591440017	612267.94000	10638677.76000
2020	284	6	26	32	591440018	612267.72000	10638678.04000
2020	284	6	26	32	591440019	612267.49000	10638678.31000
2020	284	6	26	32	591440020	612267.27000	10638678.59000
2020	284	6	26	33	591440021	612267.05000	10638678.86000
2020	284	6	26	33	591440022	612266.80000	10638679.15000
2020	284	6	26	33	591440023	612266.55000	10638679.44000
2020	284	6	26	33	591440024	612266.30000	10638679.73000
2020	284	6	26	33	591440025	612266.06000	10638680.02000
2020	284	6	26	33	591440026	612265.81000	10638680.31000
2020	284	6	26	34	591440027	612265.56000	10638680.60000
2020	284	6	26	34	591440028	612265.38000	10638680.83000
2020	284	6	26	34	591440029	612265.20000	10638681.06000
2020	284	6	26	34	591440030	612265.01000	10638681.29000
2020	284	6	26	34	591440031	612264.83000	10638681.52000
2020	284	6	26	34	591440032	612264.64000	10638681.75000
2020	284	6	26	34	591440033	612264.46000	10638681.98000
2020	284	6	26	35	591440034	612264.28000	10638682.21000
2020	284	6	26	35	591440035	612264.05000	10638682.51000
2020	284	6	26	35	591440036	612263.83000	10638682.81000
2020	284	6	26	35	591440037	612263.61000	10638683.11000
2020	284	6	26	35	591440038	612263.39000	10638683.42000
2020	284	6	26	35	591440039	612263.17000	10638683.72000
2020	284	6	26	36	591440040	612262.94000	10638684.02000
2020	284	6	26	36	591440041	612262.67000	10638684.38000
2020	284	6	26	36	591440042	612262.40000	10638684.73000
2020	284	6	26	36	591440043	612262.13000	10638685.09000
2020	284	6	26	36	591440044	612261.86000	10638685.44000
2020	284	6	26	36	591440045	612261.59000	10638685.79000
2020	284	6	26	37	591440046	612261.31000	10638686.15000
2020	284	6	26	37	591440047	612261.06000	10638686.44000
2020	284	6	26	37	591440048	612260.81000	10638686.74000
2020	284	6	26	37	591440049	612260.55000	10638687.04000
2020	284	6	26	37	591440050	612260.30000	10638687.34000
2020	284	6	26	37	591440051	612260.04000	10638687.64000
2020	284	6	26	37	591440052	612259.79000	10638687.94000
2020	284	6	26	38	591440053	612259.54000	10638688.24000
2020	284	6	26	38	591440054	612259.28000	10638688.52000
2020	284	6	26	38	591440055	612259.02000	10638688.81000
2020	284	6	26	38	591440056	612258.76000	10638689.09000
2020	284	6	26	38	591440057	612258.50000	10638689.38000
2020	284	6	26	38	591440058	612258.24000	10638689.66000
2020	284	6	26	39	591440059	612257.98000	10638689.94000
2020	284	6	26	39	591440060	612257.80000	10638690.16000
2020	284	6	26	39	591440061	612257.62000	10638690.37000
2020	284	6	26	39	591440062	612257.44000	10638690.58000
2020	284	6	26	39	591440063	612257.27000	10638690.79000
2020	284	6	26	39	591440064	612257.09000	10638691.00000
2020	284	6	26	39	591440065	612256.91000	10638691.21000
2020	284	6	26	40	591440066	612256.74000	10638691.43000
2020	284	6	26	40	591440067	612256.53000	10638691.70000
2020	284	6	26	40	591440068	612256.32000	10638691.98000
2020	284	6	26	40	591440069	612256.11000	10638692.25000
2020	284	6	26	40	591440070	612255.90000	10638692.53000
2020	284	6	26	40	591440071	612255.69000	10638692.80000
2020	284	6	26	41	591440072	612255.48000	10638693.08000
2020	284	6	26	41	591440073	612255.26000	10638693.37000
2020	284	6	26	41	591440074	612255.04000	10638693.66000
2020	284	6	26	41	591440075	612254.82000	10638693.95000
2020	284	6	26	41	591440076	612254.60000	10638694.24000
2020	284	6	26	41	591440077	612254.38000	10638694.53000
2020	284	6	26	41	591440078	612254.16000	10638694.82000
2020	284	6	26	42	591440079	612253.93000	10638695.11000
2020	284	6	26	42	591440080	612253.67000	10638695.45000
2020	284	6	26	42	591440081	612253.40000	10638695.79000
2020	284	6	26	42	591440082	612253.13000	10638696.13000
2020	284	6	26	42	591440083	612252.86000	10638696.47000
2020	284	6	26	42	591440084	612252.59000	10638696.81000
2020	284	6	26	43	591440085	612252.32000	10638697.16000
2020	284	6	26	43	591440086	612252.06000	10638697.46000
2020	284	6	26	43	591440087	612251.80000	10638697.77000
2020	284	6	26	43	591440088	612251.54000	10638698.07000
2020	284	6	26	43	591440089	612251.27000	10638698.37000
2020	284	6	26	43	591440090	612251.01000	10638698.68000
2020	284	6	26	44	591440091	612250.75000	10638698.99000
2020	284	6	26	44	591440092	612250.54000	10638699.21000
2020	284	6	26	44	591440093	612250.33000	10638699.43000
2020	284	6	26	44	591440094	612250.12000	10638699.66000
2020	284	6	26	44	591440095	612249.91000	10638699.88000
2020	284	6	26	44	591440096	612249.70000	10638700.11000
2020	284	6	26	44	591440097	612249.49000	10638700.33000
2020	284	6	26	45	591440098	612249.29000	10638700.56000
2020	284	6	26	45	591440099	612249.10000	10638700.78000
2020	284	6	26	45	591440100	612248.92000	10638701.00000
2020	284	6	26	45	591440101	612248.73000	10638701.23000
2020	284	6	26	45	591440102	612248.55000	10638701.45000
2020	284	6	26	45	591440103	612248.36000	10638701.68000
2020	284	6	26	45	591440104	612248.18000	10638701.90000
2020	284	6	26	46	591440105	612248.00000	10638702.13000
2020	284	6	26	46	591440106	612247.76000	10638702.43000
2020	284	6	26	46	591440107	612247.53000	10638702.74000
2020	284	6	26	46	591440108	612247.30000	10638703.05000
2020	284	6	26	46	591440109	612247.07000	10638703.35000
2020	284	6	26	46	591440110	612246.84000	10638703.66000
2020	284	6	26	47	591440111	612246.61000	10638703.97000
2020	284	6	26	47	591440112	612246.34000	10638704.31000
2020	284	6	26	47	591440113	612246.08000	10638704.65000
2020	284	6	26	47	591440114	612245.82000	10638704.99000
2020	284	6	26	47	591440115	612245.55000	10638705.33000
2020	284	6	26	47	591440116	612245.29000	10638705.67000
2020	284	6	26	48	591440117	612245.03000	10638706.02000
2020	284	6	26	48	591440118	612244.80000	10638706.28000
2020	284	6	26	48	591440119	612244.58000	10638706.55000
2020	284	6	26	48	591440120	612244.36000	10638706.82000
2020	284	6	26	48	591440121	612244.14000	10638707.09000
2020	284	6	26	48	591440122	612243.92000	10638707.36000
2020	284	6	26	48	591440123	612243.70000	10638707.63000
2020	284	6	26	49	591440124	612243.48000	10638707.91000
2020	284	6	26	49	591440125	612243.25000	10638708.18000
2020	284	6	26	49	591440126	612243.03000	10638708.45000
2020	284	6	26	49	591440127	612242.81000	10638708.72000
2020	284	6	26	49	591440128	612242.59000	10638708.99000
2020	284	6	26	49	591440129	612242.37000	10638709.26000
2020	284	6	26	50	591440130	612242.15000	10638709.53000
2020	284	6	26	50	591440131	612241.95000	10638709.77000
2020	284	6	26	50	591440132	612241.76000	10638710.02000
2020	284	6	26	50	591440133	612241.56000	10638710.26000
2020	284	6	26	50	591440134	612241.37000	10638710.50000
2020	284	6	26	50	591440135	612241.17000	10638710.74000
2020	284	6	26	50	591440136	612240.98000	10638710.98000
2020	284	6	26	51	591440137	612240.79000	10638711.22000
2020	284	6	26	51	591440138	612240.54000	10638711.52000
2020	284	6	26	51	591440139	612240.30000	10638711.82000
2020	284	6	26	51	591440140	612240.06000	10638712.12000
2020	284	6	26	51	591440141	612239.82000	10638712.43000
2020	284	6	26	51	591440142	612239.58000	10638712.73000
2020	284	6	26	52	591440143	612239.34000	10638713.03000
2020	284	6	26	52	591440144	612239.07000	10638713.35000
2020	284	6	26	52	591440145	612238.81000	10638713.67000
2020	284	6	26	52	591440146	612238.55000	10638713.99000
2020	284	6	26	52	591440147	612238.29000	10638714.31000
2020	284	6	26	52	591440148	612238.03000	10638714.63000
2020	284	6	26	53	591440149	612237.78000	10638714.94000
2020	284	6	26	53	591440150	612237.56000	10638715.21000
2020	284	6	26	53	591440151	612237.34000	10638715.47000
2020	284	6	26	53	591440152	612237.12000	10638715.74000
2020	284	6	26	53	591440153	612236.91000	10638716.00000
2020	284	6	26	53	591440154	612236.69000	10638716.27000
2020	284	6	26	53	591440155	612236.47000	10638716.53000
2020	284	6	26	54	591440156	612236.26000	10638716.80000
2020	284	6	26	54	591440157	612236.02000	10638717.09000
2020	284	6	26	54	591440158	612235.79000	10638717.38000
2020	284	6	26	54	591440159	612235.55000	10638717.67000
2020	284	6	26	54	591440160	612235.32000	10638717.96000
2020	284	6	26	54	591440161	612235.09000	10638718.25000
2020	284	6	26	55	591440162	612234.86000	10638718.55000
2020	284	6	26	55	591440163	612234.66000	10638718.81000
2020	284	6	26	55	591440164	612234.46000	10638719.07000
2020	284	6	26	55	591440165	612234.27000	10638719.34000
2020	284	6	26	55	591440166	612234.07000	10638719.60000
2020	284	6	26	55	591440167	612233.88000	10638719.87000
2020	284	6	26	55	591440168	612233.68000	10638720.13000
2020	284	6	26	56	591440169	612233.49000	10638720.40000
2020	284	6	26	56	591440170	612233.24000	10638720.71000
2020	284	6	26	56	591440171	612233.00000	10638721.02000
2020	284	6	26	56	591440172	612232.76000	10638721.33000
2020	284	6	26	56	591440173	612232.51000	10638721.64000
2020	284	6	26	56	591440174	612232.27000	10638721.95000
2020	284	6	26	57	591440175	612232.03000	10638722.26000
2020	284	6	26	57	591440176	612231.82000	10638722.50000
2020	284	6	26	57	591440177	612231.61000	10638722.75000
2020	284	6	26	57	591440178	612231.40000	10638723.00000
2020	284	6	26	57	591440179	612231.20000	10638723.25000
2020	284	6	26	57	591440180	612230.99000	10638723.50000
2020	284	6	26	57	591440181	612230.78000	10638723.75000
2020	284	6	26	58	591440182	612230.57000	10638724.00000
2020	284	6	26	58	591440183	612230.35000	10638724.28000
2020	284	6	26	58	591440184	612230.13000	10638724.57000
2020	284	6	26	58	591440185	612229.90000	10638724.86000
2020	284	6	26	58	591440186	612229.68000	10638725.15000
