YEAR	DAY	HOUR	MINUTE	SECOND	FFID	SOU_X	SOU_Y
2020	284	11	16	0	603040001	593572.64000	10664335.44000
2020	284	11	16	0	603040002	593572.35000	10664335.26000
2020	284	11	16	0	603040003	593572.06000	10664335.09000
2020	284	11	16	0	603040004	593571.78000	10664334.92000
2020	284	11	16	0	603040005	593571.49000	10664334.75000
2020	284	11	16	0	603040006	593571.20000	10664334.58000
2020	284	11	16	0	603040007	593570.92000	10664334.41000
2020	284	11	16	0	603040008	593570.63000	10664334.23000
2020	284	11	16	0	603040009	593570.34000	10664334.06000
2020	284	11	16	0	603040010	593570.06000	10664333.89000
2020	284	11	16	0	603040011	593569.77000	10664333.72000
2020	284	11	16	0	603040012	593569.48000	10664333.55000
2020	284	11	16	0	603040013	593569.20000	10664333.38000
2020	284	11	16	0	603040014	593568.91000	10664333.21000
2020	284	11	16	2	603040015	593568.63000	10664333.03000
2020	284	11	16	2	603040016	593568.39000	10664332.89000
2020	284	11	16	2	603040017	593568.16000	10664332.75000
2020	284	11	16	2	603040018	593567.92000	10664332.61000
2020	284	11	16	2	603040019	593567.69000	10664332.46000
2020	284	11	16	2	603040020	593567.45000	10664332.32000
2020	284	11	16	2	603040021	593567.22000	10664332.18000
2020	284	11	16	2	603040022	593566.98000	10664332.04000
2020	284	11	16	3	603040023	593566.75000	10664331.90000
2020	284	11	16	3	603040024	593566.49000	10664331.74000
2020	284	11	16	3	603040025	593566.23000	10664331.59000
2020	284	11	16	3	603040026	593565.97000	10664331.43000
2020	284	11	16	3	603040027	593565.71000	10664331.28000
2020	284	11	16	3	603040028	593565.46000	10664331.13000
2020	284	11	16	3	603040029	593565.20000	10664330.97000
2020	284	11	16	3	603040030	593564.94000	10664330.82000
2020	284	11	16	4	603040031	593564.68000	10664330.67000
2020	284	11	16	4	603040032	593564.42000	10664330.50000
2020	284	11	16	4	603040033	593564.15000	10664330.33000
2020	284	11	16	4	603040034	593563.89000	10664330.17000
2020	284	11	16	4	603040035	593563.62000	10664330.00000
2020	284	11	16	4	603040036	593563.35000	10664329.83000
2020	284	11	16	4	603040037	593563.09000	10664329.67000
2020	284	11	16	4	603040038	593562.82000	10664329.50000
2020	284	11	16	5	603040039	593562.56000	10664329.34000
2020	284	11	16	5	603040040	593562.30000	10664329.18000
2020	284	11	16	5	603040041	593562.04000	10664329.02000
2020	284	11	16	5	603040042	593561.78000	10664328.86000
2020	284	11	16	5	603040043	593561.52000	10664328.69000
2020	284	11	16	5	603040044	593561.26000	10664328.53000
2020	284	11	16	5	603040045	593561.00000	10664328.37000
2020	284	11	16	5	603040046	593560.74000	10664328.21000
2020	284	11	16	6	603040047	593560.48000	10664328.06000
2020	284	11	16	6	603040048	593560.21000	10664327.90000
2020	284	11	16	6	603040049	593559.95000	10664327.74000
2020	284	11	16	6	603040050	593559.68000	10664327.58000
2020	284	11	16	6	603040051	593559.42000	10664327.42000
2020	284	11	16	6	603040052	593559.16000	10664327.27000
2020	284	11	16	6	603040053	593558.89000	10664327.11000
2020	284	11	16	6	603040054	593558.63000	10664326.95000
2020	284	11	16	7	603040055	593558.37000	10664326.80000
2020	284	11	16	7	603040056	593558.09000	10664326.63000
2020	284	11	16	7	603040057	593557.81000	10664326.46000
2020	284	11	16	7	603040058	593557.54000	10664326.29000
2020	284	11	16	7	603040059	593557.26000	10664326.12000
2020	284	11	16	7	603040060	593556.98000	10664325.95000
2020	284	11	16	7	603040061	593556.71000	10664325.78000
2020	284	11	16	7	603040062	593556.43000	10664325.61000
2020	284	11	16	8	603040063	593556.16000	10664325.44000
2020	284	11	16	8	603040064	593555.87000	10664325.28000
2020	284	11	16	8	603040065	593555.59000	10664325.12000
2020	284	11	16	8	603040066	593555.31000	10664324.95000
2020	284	11	16	8	603040067	593555.03000	10664324.79000
2020	284	11	16	8	603040068	593554.75000	10664324.63000
2020	284	11	16	8	603040069	593554.47000	10664324.46000
2020	284	11	16	8	603040070	593554.19000	10664324.30000
2020	284	11	16	9	603040071	593553.91000	10664324.14000
2020	284	11	16	9	603040072	593553.64000	10664323.99000
2020	284	11	16	9	603040073	593553.38000	10664323.85000
2020	284	11	16	9	603040074	593553.12000	10664323.70000
2020	284	11	16	9	603040075	593552.86000	10664323.56000
2020	284	11	16	9	603040076	593552.59000	10664323.42000
2020	284	11	16	9	603040077	593552.33000	10664323.27000
2020	284	11	16	9	603040078	593552.07000	10664323.13000
2020	284	11	16	10	603040079	593551.81000	10664322.99000
2020	284	11	16	10	603040080	593551.57000	10664322.86000
2020	284	11	16	10	603040081	593551.33000	10664322.72000
2020	284	11	16	10	603040082	593551.10000	10664322.59000
2020	284	11	16	10	603040083	593550.86000	10664322.46000
2020	284	11	16	10	603040084	593550.62000	10664322.33000
2020	284	11	16	10	603040085	593550.39000	10664322.20000
2020	284	11	16	10	603040086	593550.15000	10664322.07000
2020	284	11	16	11	603040087	593549.92000	10664321.94000
2020	284	11	16	11	603040088	593549.68000	10664321.82000
2020	284	11	16	11	603040089	593549.45000	10664321.69000
2020	284	11	16	11	603040090	593549.22000	10664321.56000
2020	284	11	16	11	603040091	593548.99000	10664321.43000
2020	284	11	16	11	603040092	593548.76000	10664321.30000
2020	284	11	16	11	603040093	593548.53000	10664321.17000
2020	284	11	16	11	603040094	593548.30000	10664321.04000
2020	284	11	16	12	603040095	593548.06000	10664320.91000
2020	284	11	16	12	603040096	593547.81000	10664320.75000
2020	284	11	16	12	603040097	593547.56000	10664320.59000
2020	284	11	16	12	603040098	593547.30000	10664320.43000
2020	284	11	16	12	603040099	593547.05000	10664320.27000
2020	284	11	16	12	603040100	593546.80000	10664320.11000
2020	284	11	16	12	603040101	593546.54000	10664319.95000
2020	284	11	16	12	603040102	593546.29000	10664319.79000
2020	284	11	16	13	603040103	593546.04000	10664319.64000
2020	284	11	16	13	603040104	593545.76000	10664319.45000
2020	284	11	16	13	603040105	593545.48000	10664319.27000
2020	284	11	16	13	603040106	593545.21000	10664319.08000
2020	284	11	16	13	603040107	593544.93000	10664318.90000
2020	284	11	16	13	603040108	593544.65000	10664318.72000
2020	284	11	16	13	603040109	593544.38000	10664318.53000
2020	284	11	16	13	603040110	593544.10000	10664318.35000
2020	284	11	16	14	603040111	593543.82000	10664318.17000
2020	284	11	16	14	603040112	593543.51000	10664317.95000
2020	284	11	16	14	603040113	593543.20000	10664317.74000
2020	284	11	16	14	603040114	593542.88000	10664317.53000
2020	284	11	16	14	603040115	593542.57000	10664317.32000
2020	284	11	16	14	603040116	593542.25000	10664317.11000
2020	284	11	16	14	603040117	593541.94000	10664316.90000
2020	284	11	16	15	603040118	593541.63000	10664316.69000
2020	284	11	16	15	603040119	593541.36000	10664316.54000
2020	284	11	16	15	603040120	593541.09000	10664316.39000
2020	284	11	16	15	603040121	593540.83000	10664316.24000
2020	284	11	16	15	603040122	593540.56000	10664316.09000
2020	284	11	16	15	603040123	593540.29000	10664315.93000
2020	284	11	16	15	603040124	593540.03000	10664315.78000
2020	284	11	16	15	603040125	593539.76000	10664315.63000
2020	284	11	16	16	603040126	593539.50000	10664315.48000
2020	284	11	16	16	603040127	593539.23000	10664315.34000
2020	284	11	16	16	603040128	593538.96000	10664315.21000
2020	284	11	16	16	603040129	593538.68000	10664315.07000
2020	284	11	16	16	603040130	593538.41000	10664314.94000
2020	284	11	16	16	603040131	593538.14000	10664314.81000
2020	284	11	16	16	603040132	593537.87000	10664314.67000
2020	284	11	16	16	603040133	593537.60000	10664314.54000
2020	284	11	16	17	603040134	593537.34000	10664314.41000
2020	284	11	16	17	603040135	593537.06000	10664314.25000
2020	284	11	16	17	603040136	593536.79000	10664314.10000
2020	284	11	16	17	603040137	593536.51000	10664313.94000
2020	284	11	16	17	603040138	593536.24000	10664313.79000
2020	284	11	16	17	603040139	593535.97000	10664313.63000
2020	284	11	16	17	603040140	593535.69000	10664313.48000
2020	284	11	16	17	603040141	593535.42000	10664313.32000
2020	284	11	16	18	603040142	593535.15000	10664313.17000
2020	284	11	16	18	603040143	593534.88000	10664313.00000
2020	284	11	16	18	603040144	593534.62000	10664312.83000
2020	284	11	16	18	603040145	593534.36000	10664312.67000
2020	284	11	16	18	603040146	593534.10000	10664312.50000
2020	284	11	16	18	603040147	593533.84000	10664312.33000
2020	284	11	16	18	603040148	593533.58000	10664312.17000
2020	284	11	16	18	603040149	593533.32000	10664312.00000
2020	284	11	16	19	603040150	593533.06000	10664311.84000
2020	284	11	16	19	603040151	593532.80000	10664311.69000
2020	284	11	16	19	603040152	593532.55000	10664311.55000
2020	284	11	16	19	603040153	593532.30000	10664311.40000
2020	284	11	16	19	603040154	593532.05000	10664311.26000
2020	284	11	16	19	603040155	593531.80000	10664311.12000
2020	284	11	16	19	603040156	593531.55000	10664310.97000
2020	284	11	16	19	603040157	593531.30000	10664310.83000
2020	284	11	16	20	603040158	593531.05000	10664310.69000
2020	284	11	16	20	603040159	593530.80000	10664310.55000
2020	284	11	16	20	603040160	593530.55000	10664310.41000
2020	284	11	16	20	603040161	593530.30000	10664310.27000
2020	284	11	16	20	603040162	593530.05000	10664310.14000
2020	284	11	16	20	603040163	593529.80000	10664310.00000
2020	284	11	16	20	603040164	593529.55000	10664309.86000
2020	284	11	16	20	603040165	593529.30000	10664309.72000
2020	284	11	16	21	603040166	593529.06000	10664309.59000
2020	284	11	16	21	603040167	593528.80000	10664309.42000
2020	284	11	16	21	603040168	593528.55000	10664309.26000
2020	284	11	16	21	603040169	593528.30000	10664309.10000
2020	284	11	16	21	603040170	593528.05000	10664308.94000
2020	284	11	16	21	603040171	593527.79000	10664308.78000
2020	284	11	16	21	603040172	593527.54000	10664308.62000
2020	284	11	16	21	603040173	593527.29000	10664308.46000
2020	284	11	16	22	603040174	593527.04000	10664308.30000
2020	284	11	16	22	603040175	593526.78000	10664308.11000
2020	284	11	16	22	603040176	593526.52000	10664307.92000
2020	284	11	16	22	603040177	593526.26000	10664307.73000
2020	284	11	16	22	603040178	593526.00000	10664307.54000
2020	284	11	16	22	603040179	593525.74000	10664307.35000
2020	284	11	16	22	603040180	593525.48000	10664307.16000
2020	284	11	16	22	603040181	593525.22000	10664306.97000
2020	284	11	16	23	603040182	593524.96000	10664306.78000
2020	284	11	16	23	603040183	593524.69000	10664306.60000
2020	284	11	16	23	603040184	593524.43000	10664306.41000
2020	284	11	16	23	603040185	593524.17000	10664306.22000
2020	284	11	16	23	603040186	593523.91000	10664306.03000
2020	284	11	16	23	603040187	593523.64000	10664305.85000
2020	284	11	16	23	603040188	593523.38000	10664305.66000
2020	284	11	16	23	603040189	593523.12000	10664305.47000
2020	284	11	16	24	603040190	593522.86000	10664305.28000
2020	284	11	16	24	603040191	593522.59000	10664305.12000
2020	284	11	16	24	603040192	593522.32000	10664304.96000
2020	284	11	16	24	603040193	593522.06000	10664304.79000
2020	284	11	16	24	603040194	593521.79000	10664304.63000
2020	284	11	16	24	603040195	593521.52000	10664304.47000
2020	284	11	16	24	603040196	593521.26000	10664304.30000
2020	284	11	16	24	603040197	593520.99000	10664304.14000
2020	284	11	16	25	603040198	593520.73000	10664303.98000
2020	284	11	16	25	603040199	593520.46000	10664303.82000
