NAME	DATE	YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
20AN2F02	28.09.2020	2020	272	3	14	41	48	955060.9365	10719329.78
20AN2F02	28.09.2020	2020	272	3	14	43	50	955064.965	10719332.94
20AN2F02	28.09.2020	2020	272	3	14	45	51	955069.192	10719336.25
20AN2F02	28.09.2020	2020	272	3	14	47	53	955073.4722	10719339.6
20AN2F02	28.09.2020	2020	272	3	14	49	55	955077.7504	10719342.96
20AN2F02	28.09.2020	2020	272	3	14	51	57	955082.0091	10719346.29
20AN2F02	28.09.2020	2020	272	3	14	53	58	955086.2993	10719349.66
20AN2F02	28.09.2020	2020	272	3	14	55	60	955090.5894	10719353.02
20AN2F02	28.09.2020	2020	272	3	14	57	62	955094.8507	10719356.36
20AN2F02	28.09.2020	2020	272	3	14	59	63	955099.1092	10719359.7
20AN2F02	28.09.2020	2020	272	3	15	1	65	955103.3868	10719363.04
20AN2F02	28.09.2020	2020	272	3	15	3	67	955107.6591	10719366.37
20AN2F02	28.09.2020	2020	272	3	15	5	69	955111.8947	10719369.72
20AN2F02	28.09.2020	2020	272	3	15	7	70	955116.1872	10719373.02
20AN2F02	28.09.2020	2020	272	3	15	9	72	955120.4903	10719376.37
20AN2F02	28.09.2020	2020	272	3	15	11	74	955124.7739	10719379.71
20AN2F02	28.09.2020	2020	272	3	15	13	76	955129.0742	10719383
20AN2F02	28.09.2020	2020	272	3	15	15	77	955133.3597	10719386.34
20AN2F02	28.09.2020	2020	272	3	15	17	79	955137.6376	10719389.73
20AN2F02	28.09.2020	2020	272	3	15	19	81	955141.9488	10719393.07
20AN2F02	28.09.2020	2020	272	3	15	21	83	955146.2679	10719396.37
20AN2F02	28.09.2020	2020	272	3	15	23	84	955150.536	10719399.72
20AN2F02	28.09.2020	2020	272	3	15	25	86	955154.8013	10719403.14
20AN2F02	28.09.2020	2020	272	3	15	27	88	955159.1024	10719406.51
20AN2F02	28.09.2020	2020	272	3	15	29	90	955163.3454	10719409.88
20AN2F02	28.09.2020	2020	272	3	15	31	91	955167.5265	10719413.31
20AN2F02	28.09.2020	2020	272	3	15	33	93	955171.7311	10719416.77
20AN2F02	28.09.2020	2020	272	3	15	35	95	955175.9602	10719420.23
20AN2F02	28.09.2020	2020	272	3	15	37	97	955180.1431	10719423.67
