NAME	DATE	YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
20AN2F01	27.09.2020	2020	271	23	46	56	49	958779.0988	10728444.02
20AN2F01	27.09.2020	2020	271	23	46	58	50	958779.665	10728440.06
20AN2F01	27.09.2020	2020	271	23	47	0	51	958780.2428	10728436.01
20AN2F01	27.09.2020	2020	271	23	47	2	52	958780.8092	10728432.05
20AN2F01	27.09.2020	2020	271	23	47	4	54	958781.3794	10728428.06
20AN2F01	27.09.2020	2020	271	23	47	6	55	958781.9455	10728424.09
20AN2F01	27.09.2020	2020	271	23	47	8	56	958782.5124	10728420.13
20AN2F01	27.09.2020	2020	271	23	47	10	58	958783.0807	10728416.15
20AN2F01	27.09.2020	2020	271	23	47	12	59	958783.6488	10728412.17
20AN2F01	27.09.2020	2020	271	23	47	14	60	958784.2164	10728408.2
20AN2F01	27.09.2020	2020	271	23	47	16	61	958784.788	10728404.2
20AN2F01	27.09.2020	2020	271	23	47	18	63	958785.3611	10728400.19
20AN2F01	27.09.2020	2020	271	23	47	20	64	958785.9279	10728396.22
20AN2F01	27.09.2020	2020	271	23	47	22	65	958786.4649	10728392.25
20AN2F01	27.09.2020	2020	271	23	47	24	67	958786.952	10728388.25
20AN2F01	27.09.2020	2020	271	23	47	26	68	958787.632	10728384.27
20AN2F01	27.09.2020	2020	271	23	47	28	69	958788.1894	10728380.34
20AN2F01	27.09.2020	2020	271	23	47	30	70	958788.8144	10728376.38
20AN2F01	27.09.2020	2020	271	23	47	32	72	958789.4069	10728372.39
20AN2F01	27.09.2020	2020	271	23	47	34	73	958789.9883	10728368.4
20AN2F01	27.09.2020	2020	271	23	47	36	74	958790.5965	10728364.47
20AN2F01	27.09.2020	2020	271	23	47	38	76	958791.1706	10728360.53
20AN2F01	27.09.2020	2020	271	23	47	40	77	958791.7247	10728356.55
20AN2F01	27.09.2020	2020	271	23	47	42	78	958792.3095	10728352.59
20AN2F01	27.09.2020	2020	271	23	47	44	79	958792.8933	10728348.65
20AN2F01	27.09.2020	2020	271	23	47	46	81	958793.4432	10728344.68
20AN2F01	27.09.2020	2020	271	23	47	48	82	958793.9733	10728340.71
20AN2F01	27.09.2020	2020	271	23	47	50	83	958794.5253	10728336.76
20AN2F01	27.09.2020	2020	271	23	47	52	85	958795.0803	10728332.84
20AN2F01	27.09.2020	2020	271	23	47	54	86	958795.6057	10728328.87
20AN2F01	27.09.2020	2020	271	23	47	56	87	958796.0709	10728324.88
20AN2F01	27.09.2020	2020	271	23	47	58	88	958796.5791	10728320.91
20AN2F01	27.09.2020	2020	271	23	48	0	90	958797.1214	10728316.95
20AN2F01	27.09.2020	2020	271	23	48	2	91	958797.5852	10728312.96
20AN2F01	27.09.2020	2020	271	23	48	4	92	958798.0176	10728308.98
20AN2F01	27.09.2020	2020	271	23	48	6	94	958798.5446	10728305.03
20AN2F01	27.09.2020	2020	271	23	48	8	95	958799.0921	10728301.06
20AN2F01	27.09.2020	2020	271	23	48	10	96	958799.5723	10728297.07
20AN2F01	27.09.2020	2020	271	23	48	12	97	958800.0834	10728293.1
20AN2F01	27.09.2020	2020	271	23	48	14	99	958800.6695	10728289.15
20AN2F01	27.09.2020	2020	271	23	48	16	100	958801.1961	10728285.18
20AN2F01	27.09.2020	2020	271	23	48	18	101	958801.6918	10728281.22
20AN2F01	27.09.2020	2020	271	23	48	20	102	958802.2459	10728277.3
20AN2F01	27.09.2020	2020	271	23	48	22	104	958802.8016	10728273.37
20AN2F01	27.09.2020	2020	271	23	48	24	105	958803.2915	10728269.43
20AN2F01	27.09.2020	2020	271	23	48	26	106	958803.798	10728265.52
20AN2F01	27.09.2020	2020	271	23	48	28	108	958804.3578	10728261.61
20AN2F01	27.09.2020	2020	271	23	48	30	109	958804.8441	10728257.67
20AN2F01	27.09.2020	2020	271	23	48	32	110	958805.3293	10728253.71
20AN2F01	27.09.2020	2020	271	23	48	34	111	958805.8805	10728249.79
20AN2F01	27.09.2020	2020	271	23	48	36	113	958806.4341	10728245.84
20AN2F01	27.09.2020	2020	271	23	48	38	114	958806.8998	10728241.88
20AN2F01	27.09.2020	2020	271	23	48	40	115	958807.39	10728237.94
20AN2F01	27.09.2020	2020	271	23	48	42	116	958807.9601	10728234.01
20AN2F01	27.09.2020	2020	271	23	48	44	118	958808.4538	10728230.1
20AN2F01	27.09.2020	2020	271	23	48	46	119	958808.8922	10728226.15
20AN2F01	27.09.2020	2020	271	23	48	48	120	958809.4337	10728222.25
20AN2F01	27.09.2020	2020	271	23	48	50	121	958810.0095	10728218.37
20AN2F01	27.09.2020	2020	271	23	48	52	123	958810.4655	10728214.45
20AN2F01	27.09.2020	2020	271	23	48	54	124	958810.9537	10728210.53
20AN2F01	27.09.2020	2020	271	23	48	56	125	958811.493	10728206.62
20AN2F01	27.09.2020	2020	271	23	48	58	127	958811.9699	10728202.72
20AN2F01	27.09.2020	2020	271	23	49	0	128	958812.3938	10728198.78
20AN2F01	27.09.2020	2020	271	23	49	2	129	958812.868	10728194.86
20AN2F01	27.09.2020	2020	271	23	49	4	130	958813.3511	10728190.94
20AN2F01	27.09.2020	2020	271	23	49	6	132	958813.7856	10728187.02
20AN2F01	27.09.2020	2020	271	23	49	8	133	958814.2639	10728183.14
20AN2F01	27.09.2020	2020	271	23	49	10	134	958814.7461	10728179.23
20AN2F01	27.09.2020	2020	271	23	49	12	135	958815.2238	10728175.36
20AN2F01	27.09.2020	2020	271	23	49	14	137	958815.662	10728171.45
20AN2F01	27.09.2020	2020	271	23	49	16	138	958816.1474	10728167.58
20AN2F01	27.09.2020	2020	271	23	49	18	139	958816.6571	10728163.69
20AN2F01	27.09.2020	2020	271	23	49	20	140	958817.1165	10728159.81
20AN2F01	27.09.2020	2020	271	23	49	22	142	958817.5685	10728155.92
20AN2F01	27.09.2020	2020	271	23	49	24	143	958818.0963	10728152.04
20AN2F01	27.09.2020	2020	271	23	49	26	144	958818.6258	10728148.21
20AN2F01	27.09.2020	2020	271	23	49	28	145	958819.0907	10728144.3
20AN2F01	27.09.2020	2020	271	23	49	30	147	958819.6239	10728140.41
20AN2F01	27.09.2020	2020	271	23	49	32	148	958820.2065	10728136.55
20AN2F01	27.09.2020	2020	271	23	49	34	149	958820.6966	10728132.68
20AN2F01	27.09.2020	2020	271	23	49	36	150	958821.2147	10728128.74
20AN2F01	27.09.2020	2020	271	23	49	38	152	958821.7841	10728124.84
20AN2F01	27.09.2020	2020	271	23	49	40	153	958822.3195	10728120.95
20AN2F01	27.09.2020	2020	271	23	49	42	154	958822.8408	10728117.03
20AN2F01	27.09.2020	2020	271	23	49	44	155	958823.4286	10728113.1
20AN2F01	27.09.2020	2020	271	23	49	46	157	958824.0006	10728109.23
20AN2F01	27.09.2020	2020	271	23	49	48	158	958824.5606	10728105.33
20AN2F01	27.09.2020	2020	271	23	49	50	159	958825.1688	10728101.43
20AN2F01	27.09.2020	2020	271	23	49	52	161	958825.7269	10728097.52
20AN2F01	27.09.2020	2020	271	23	49	54	162	958826.2811	10728093.6
20AN2F01	27.09.2020	2020	271	23	49	56	163	958826.9104	10728089.7
20AN2F01	27.09.2020	2020	271	23	49	58	164	958827.496	10728085.78
20AN2F01	27.09.2020	2020	271	23	50	0	166	958828.0143	10728081.82
