NAME	DATE	YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
20AN2F03	28.09.2020	2020	272	5	47	25	48	965446.9361	10721676.86
20AN2F03	28.09.2020	2020	272	5	47	27	49	965443.3161	10721677.71
20AN2F03	28.09.2020	2020	272	5	47	29	51	965438.8973	10721678.76
20AN2F03	28.09.2020	2020	272	5	47	31	52	965434.5267	10721679.8
20AN2F03	28.09.2020	2020	272	5	47	33	54	965430.1344	10721680.83
20AN2F03	28.09.2020	2020	272	5	47	35	55	965425.7065	10721681.88
20AN2F03	28.09.2020	2020	272	5	47	37	56	965421.2793	10721682.93
20AN2F03	28.09.2020	2020	272	5	47	39	58	965416.8161	10721683.99
20AN2F03	28.09.2020	2020	272	5	47	41	59	965412.3257	10721685.05
20AN2F03	28.09.2020	2020	272	5	47	43	61	965407.7933	10721686.12
20AN2F03	28.09.2020	2020	272	5	47	45	62	965403.2531	10721687.2
20AN2F03	28.09.2020	2020	272	5	47	47	64	965398.6993	10721688.28
20AN2F03	28.09.2020	2020	272	5	47	49	65	965394.1237	10721689.35
20AN2F03	28.09.2020	2020	272	5	47	51	67	965389.5253	10721690.43
20AN2F03	28.09.2020	2020	272	5	47	53	68	965384.9051	10721691.54
20AN2F03	28.09.2020	2020	272	5	47	55	70	965380.2494	10721692.52
20AN2F03	28.09.2020	2020	272	5	47	57	71	965375.6119	10721693.59
20AN2F03	28.09.2020	2020	272	5	47	59	73	965370.9205	10721694.59
20AN2F03	28.09.2020	2020	272	5	48	1	75	965366.2361	10721695.56
20AN2F03	28.09.2020	2020	272	5	48	3	76	965361.5337	10721696.56
20AN2F03	28.09.2020	2020	272	5	48	5	78	965356.8665	10721697.56
20AN2F03	28.09.2020	2020	272	5	48	7	79	965352.1987	10721698.51
20AN2F03	28.09.2020	2020	272	5	48	9	81	965347.527	10721699.4
20AN2F03	28.09.2020	2020	272	5	48	11	82	965342.855	10721700.3
20AN2F03	28.09.2020	2020	272	5	48	13	84	965338.1757	10721701.2
20AN2F03	28.09.2020	2020	272	5	48	15	85	965333.5158	10721702.08
20AN2F03	28.09.2020	2020	272	5	48	17	87	965328.8285	10721702.94
20AN2F03	28.09.2020	2020	272	5	48	19	88	965324.1406	10721703.78
20AN2F03	28.09.2020	2020	272	5	48	21	90	965319.4401	10721704.63
20AN2F03	28.09.2020	2020	272	5	48	23	91	965314.7713	10721705.49
20AN2F03	28.09.2020	2020	272	5	48	25	93	965310.0905	10721706.4
20AN2F03	28.09.2020	2020	272	5	48	27	94	965305.4735	10721707.29
20AN2F03	28.09.2020	2020	272	5	48	29	96	965300.8249	10721708.18
20AN2F03	28.09.2020	2020	272	5	48	31	97	965296.2535	10721709.17
20AN2F03	28.09.2020	2020	272	5	48	33	99	965291.663	10721710.22
20AN2F03	28.09.2020	2020	272	5	48	35	100	965287.1347	10721711.28
20AN2F03	28.09.2020	2020	272	5	48	37	102	965282.6237	10721712.35
20AN2F03	28.09.2020	2020	272	5	48	39	103	965278.0781	10721713.42
20AN2F03	28.09.2020	2020	272	5	48	41	105	965273.5782	10721714.55
20AN2F03	28.09.2020	2020	272	5	48	43	106	965269.0839	10721715.66
20AN2F03	28.09.2020	2020	272	5	48	45	108	965264.5964	10721716.75
20AN2F03	28.09.2020	2020	272	5	48	47	109	965260.067	10721717.82
20AN2F03	28.09.2020	2020	272	5	48	49	111	965255.5313	10721718.92
20AN2F03	28.09.2020	2020	272	5	48	51	112	965251.0432	10721720.04
20AN2F03	28.09.2020	2020	272	5	48	53	114	965246.4965	10721721.16
20AN2F03	28.09.2020	2020	272	5	48	55	115	965241.9984	10721722.35
20AN2F03	28.09.2020	2020	272	5	48	57	117	965237.4512	10721723.56
20AN2F03	28.09.2020	2020	272	5	48	59	118	965232.9192	10721724.76
20AN2F03	28.09.2020	2020	272	5	49	1	120	965228.3836	10721726.01
20AN2F03	28.09.2020	2020	272	5	49	3	121	965223.8582	10721727.38
20AN2F03	28.09.2020	2020	272	5	49	5	123	965219.329	10721728.64
20AN2F03	28.09.2020	2020	272	5	49	7	124	965214.7768	10721729.91
20AN2F03	28.09.2020	2020	272	5	49	9	126	965210.238	10721731.25
20AN2F03	28.09.2020	2020	272	5	49	11	127	965205.6877	10721732.62
20AN2F03	28.09.2020	2020	272	5	49	13	129	965201.1299	10721733.88
20AN2F03	28.09.2020	2020	272	5	49	15	130	965196.5449	10721735.11
20AN2F03	28.09.2020	2020	272	5	49	17	132	965191.9252	10721736.37
20AN2F03	28.09.2020	2020	272	5	49	19	133	965187.3162	10721737.56
20AN2F03	28.09.2020	2020	272	5	49	21	135	965182.6564	10721738.74
20AN2F03	28.09.2020	2020	272	5	49	23	136	965177.9771	10721739.91
20AN2F03	28.09.2020	2020	272	5	49	25	138	965173.2637	10721741.09
20AN2F03	28.09.2020	2020	272	5	49	27	140	965168.5733	10721742.25
20AN2F03	28.09.2020	2020	272	5	49	29	141	965163.8508	10721743.38
20AN2F03	28.09.2020	2020	272	5	49	31	143	965159.115	10721744.55
