YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
2020	285	0	54	48	10	633869.34667	10669988.53000
2020	285	0	54	50	13	633864.30571	10669987.30857
2020	285	0	54	52	15	633859.37000	10669986.01889
2020	285	0	54	54	18	633854.38091	10669984.81545
2020	285	0	54	56	20	633849.48364	10669983.59636
2020	285	0	54	58	23	633844.52091	10669982.34091
2020	285	0	55	0	26	633839.61636	10669981.03818
2020	285	0	55	2	28	633834.64818	10669979.80818
2020	285	0	55	4	31	633829.73000	10669978.53182
2020	285	0	55	6	33	633824.73818	10669977.11636
2020	285	0	55	8	36	633819.90000	10669975.77909
2020	285	0	55	10	38	633814.96727	10669974.52818
2020	285	0	55	12	41	633810.08818	10669973.18909
2020	285	0	55	14	43	633805.19364	10669971.85727
2020	285	0	55	16	46	633800.30364	10669970.55455
2020	285	0	55	18	48	633795.36818	10669969.28000
2020	285	0	55	20	51	633790.52545	10669967.99727
2020	285	0	55	22	53	633785.62727	10669966.74818
2020	285	0	55	24	56	633780.76455	10669965.44909
2020	285	0	55	26	58	633775.86273	10669964.18455
2020	285	0	55	28	61	633770.92182	10669962.94727
2020	285	0	55	30	64	633765.99727	10669961.67455
2020	285	0	55	32	66	633761.03182	10669960.42182
2020	285	0	55	34	69	633756.08000	10669959.23091
2020	285	0	55	36	71	633751.14091	10669957.98727
2020	285	0	55	38	74	633746.27909	10669956.79091
2020	285	0	55	40	76	633741.35636	10669955.54545
2020	285	0	55	42	79	633736.43909	10669954.20182
2020	285	0	55	44	81	633731.53364	10669952.96000
2020	285	0	55	46	84	633726.54000	10669951.77455
2020	285	0	55	48	87	633721.50636	10669950.55091
2020	285	0	55	50	89	633716.56273	10669949.35273
2020	285	0	55	52	92	633711.59455	10669948.17273
2020	285	0	55	54	94	633706.69455	10669947.01273
2020	285	0	55	56	97	633701.67182	10669945.78909
2020	285	0	55	58	99	633696.72364	10669944.58182
2020	285	0	56	0	102	633691.78000	10669943.29727
2020	285	0	56	2	104	633686.78182	10669942.07455
2020	285	0	56	4	107	633681.72182	10669940.90182
2020	285	0	56	6	110	633676.71545	10669939.62636
2020	285	0	56	8	112	633671.73727	10669938.44455
2020	285	0	56	10	115	633666.71818	10669937.28364
2020	285	0	56	12	117	633661.73909	10669936.18091
2020	285	0	56	14	120	633656.72727	10669935.07455
2020	285	0	56	16	122	633651.69455	10669934.09273
2020	285	0	56	18	125	633646.75636	10669933.09909
2020	285	0	56	20	127	633641.71091	10669932.06455
2020	285	0	56	22	130	633636.61455	10669931.01909
2020	285	0	56	24	133	633631.58364	10669929.95818
2020	285	0	56	26	135	633626.60364	10669928.78091
