YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
2020	283	22	23	20	276	601540.32273	10671968.35545
2020	283	22	23	22	278	601543.86818	10671965.38455
2020	283	22	23	24	280	601547.47091	10671962.49364
2020	283	22	23	26	283	601551.09091	10671959.59636
2020	283	22	23	28	285	601554.60909	10671956.63818
2020	283	22	23	30	287	601558.21818	10671953.70545
2020	283	22	23	32	290	601561.87455	10671950.84636
2020	283	22	23	34	292	601565.43727	10671947.89000
2020	283	22	23	36	294	601568.95455	10671944.86455
2020	283	22	23	38	297	601572.50909	10671941.89818
2020	283	22	23	40	299	601576.05364	10671938.93909
2020	283	22	23	42	301	601579.53000	10671935.92000
2020	283	22	23	44	304	601583.05182	10671932.89727
2020	283	22	23	46	306	601586.56818	10671929.86273
2020	283	22	23	48	308	601590.16000	10671926.87182
2020	283	22	23	50	311	601593.72091	10671923.82091
2020	283	22	23	52	313	601597.28000	10671920.76364
2020	283	22	23	54	315	601600.76364	10671917.84545
2020	283	22	23	56	318	601604.29364	10671914.83182
2020	283	22	23	58	320	601607.80636	10671911.87182
2020	283	22	24	0	322	601611.34273	10671908.85636
2020	283	22	24	2	324	601614.95545	10671905.94182
2020	283	22	24	4	327	601618.56091	10671902.90909
2020	283	22	24	6	329	601622.08273	10671899.82182
2020	283	22	24	8	332	601625.67909	10671896.80091
2020	283	22	24	10	334	601629.27727	10671893.87000
2020	283	22	24	12	336	601632.86000	10671890.84636
2020	283	22	24	14	339	601636.41636	10671887.78000
2020	283	22	24	16	341	601640.00545	10671884.82000
2020	283	22	24	18	343	601643.69273	10671881.90636
2020	283	22	24	20	346	601647.24091	10671878.88182
2020	283	22	24	22	348	601650.65545	10671875.75455
2020	283	22	24	24	350	601654.22818	10671872.72091
2020	283	22	24	26	353	601657.78909	10671869.69273
2020	283	22	24	28	355	601661.28455	10671866.62182
2020	283	22	24	30	357	601664.65818	10671863.48727
2020	283	22	24	32	359	601668.21818	10671860.51091
2020	283	22	24	34	362	601671.78091	10671857.48545
2020	283	22	24	36	364	601675.20455	10671854.34545
2020	283	22	24	38	366	601678.63091	10671851.23273
2020	283	22	24	40	369	601682.08455	10671848.21636
2020	283	22	24	42	371	601685.59000	10671845.10636
2020	283	22	24	44	373	601688.92455	10671841.92727
2020	283	22	24	46	376	601692.41909	10671838.81455
2020	283	22	24	48	378	601695.92273	10671835.75909
2020	283	22	24	50	380	601699.38818	10671832.62455
2020	283	22	24	52	383	601702.92000	10671829.48909
2020	283	22	24	54	385	601706.49636	10671826.43818
2020	283	22	24	56	387	601710.01455	10671823.49000
2020	283	22	24	58	390	601713.51182	10671820.47818
2020	283	22	25	0	392	601717.06455	10671817.43727
2020	283	22	25	2	394	601720.58909	10671814.44909
2020	283	22	25	4	397	601724.15909	10671811.47000
2020	283	22	25	6	399	601727.66364	10671808.43273
2020	283	22	25	8	401	601731.22273	10671805.36727
2020	283	22	25	10	404	601734.80000	10671802.32727
2020	283	22	25	12	406	601738.37182	10671799.29909
2020	283	22	25	14	408	601741.86455	10671796.21000
2020	283	22	25	16	411	601745.41636	10671793.15909
2020	283	22	25	18	413	601749.01727	10671790.16000
2020	283	22	25	20	415	601752.56091	10671787.06909
2020	283	22	25	22	418	601756.06455	10671783.98000
2020	283	22	25	24	420	601759.66000	10671780.93727
2020	283	22	25	26	422	601763.17364	10671777.89091
2020	283	22	25	28	425	601766.62545	10671774.70000
2020	283	22	25	30	427	601770.08273	10671771.52273
2020	283	22	25	32	429	601773.53818	10671768.40909
2020	283	22	25	34	432	601776.93455	10671765.21727
2020	283	22	25	36	434	601780.37364	10671761.99545
2020	283	22	25	38	436	601783.90000	10671758.89091
2020	283	22	25	40	439	601787.42364	10671755.81091
2020	283	22	25	42	441	601790.92909	10671752.72364
2020	283	22	25	44	444	601794.51000	10671749.65818
2020	283	22	25	46	446	601798.17364	10671746.64818
2020	283	22	25	48	448	601801.77545	10671743.62182
2020	283	22	25	50	451	601805.27818	10671740.52727
2020	283	22	25	52	453	601808.87727	10671737.49818
2020	283	22	25	54	455	601812.42818	10671734.50182
2020	283	22	25	56	458	601815.93455	10671731.44364
2020	283	22	25	58	460	601819.33818	10671728.34545
2020	283	22	26	0	462	601822.90545	10671725.23545
2020	283	22	26	2	465	601826.42636	10671722.14545
2020	283	22	26	4	467	601829.91545	10671718.96636
2020	283	22	26	6	469	601833.51000	10671715.85636
2020	283	22	26	8	472	601837.05182	10671712.79182
2020	283	22	26	10	474	601840.60182	10671709.66636
2020	283	22	26	12	476	601844.14636	10671706.60909
2020	283	22	26	14	479	601847.72000	10671703.53818
2020	283	22	26	16	481	601851.21909	10671700.46182
2020	283	22	26	18	483	601854.74455	10671697.33818
2020	283	22	26	20	486	601858.26545	10671694.23182
2020	283	22	26	22	488	601861.81818	10671691.12727
2020	283	22	26	24	490	601865.34273	10671688.03091
2020	283	22	26	26	493	601868.85364	10671684.93182
2020	283	22	26	28	495	601872.41091	10671681.86636
2020	283	22	26	30	497	601875.93364	10671678.79091
2020	283	22	26	32	500	601879.56727	10671675.77909
2020	283	22	26	34	502	601883.11727	10671672.74545
2020	283	22	26	36	505	601886.65727	10671669.64727
2020	283	22	26	38	507	601890.24364	10671666.52182
2020	283	22	26	40	509	601893.86818	10671663.39273
2020	283	22	26	42	512	601897.41182	10671660.31273
2020	283	22	26	44	514	601900.83091	10671657.14000
2020	283	22	26	46	516	601904.39182	10671653.97818
2020	283	22	26	48	519	601908.00636	10671650.87909
2020	283	22	26	50	521	601911.51818	10671647.78182
2020	283	22	26	52	523	601914.98545	10671644.63364
2020	283	22	26	54	526	601918.52545	10671641.52000
2020	283	22	26	56	528	601922.10455	10671638.42364
2020	283	22	26	58	530	601925.59909	10671635.34455
2020	283	22	27	0	533	601929.07636	10671632.21909
2020	283	22	27	2	535	601932.63455	10671629.15727
2020	283	22	27	4	538	601936.15818	10671626.06909
2020	283	22	27	6	540	601939.67182	10671623.01727
2020	283	22	27	8	542	601943.17000	10671619.91545
2020	283	22	27	10	545	601946.66000	10671616.76818
2020	283	22	27	12	547	601950.15273	10671613.62000
2020	283	22	27	14	549	601953.61364	10671610.47545
2020	283	22	27	16	552	601957.01273	10671607.25364
2020	283	22	27	18	554	601960.50636	10671604.06455
2020	283	22	27	20	556	601963.99818	10671600.90273
2020	283	22	27	22	559	601967.45818	10671597.73000
2020	283	22	27	24	561	601970.93091	10671594.53818
2020	283	22	27	26	563	601974.47636	10671591.42727
2020	283	22	27	28	566	601977.95091	10671588.33545
2020	283	22	27	30	568	601981.42455	10671585.18636
2020	283	22	27	32	570	601984.97182	10671582.07273
2020	283	22	27	34	573	601988.49727	10671578.93182
2020	283	22	27	36	575	601992.04091	10671575.86000
2020	283	22	27	38	577	601995.52273	10671572.71182
2020	283	22	27	40	580	601999.06909	10671569.57818
2020	283	22	27	42	582	602002.61727	10671566.45818
2020	283	22	27	44	585	602006.23091	10671563.45909
2020	283	22	27	46	587	602009.78000	10671560.41091
2020	283	22	27	48	589	602013.38818	10671557.29636
2020	283	22	27	50	592	602017.02000	10671554.26364
2020	283	22	27	52	594	602020.69182	10671551.32727
2020	283	22	27	54	596	602024.28818	10671548.32909
2020	283	22	27	56	599	602027.82545	10671545.23545
2020	283	22	27	58	601	602031.44091	10671542.19455
2020	283	22	28	0	603	602035.08545	10671539.27727
2020	283	22	28	2	606	602038.66727	10671536.23545
2020	283	22	28	4	608	602042.23000	10671533.16273
2020	283	22	28	6	610	602045.83818	10671530.11364
2020	283	22	28	8	613	602049.36818	10671527.20636
2020	283	22	28	10	615	602053.02091	10671524.13909
2020	283	22	28	12	617	602056.63273	10671521.06545
2020	283	22	28	14	620	602060.18545	10671517.98909
2020	283	22	28	16	622	602063.77182	10671514.95909
2020	283	22	28	18	624	602067.31182	10671511.96273
2020	283	22	28	20	627	602070.93818	10671508.81182
2020	283	22	28	22	629	602074.49636	10671505.73636
2020	283	22	28	24	632	602078.07091	10671502.68455
2020	283	22	28	26	634	602081.62727	10671499.58727
2020	283	22	28	28	636	602085.25636	10671496.43545
2020	283	22	28	30	639	602088.86727	10671493.43000
2020	283	22	28	32	641	602092.45727	10671490.38636
2020	283	22	28	34	643	602096.01636	10671487.30636
