YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
2020	285	17	43	42	43	634890.60182	10671383.30364
2020	285	17	43	44	45	634894.59636	10671385.79091
2020	285	17	43	46	47	634898.65091	10671388.30091
2020	285	17	43	48	50	634902.80091	10671390.75000
2020	285	17	43	50	52	634906.90273	10671393.19727
2020	285	17	43	52	55	634911.00000	10671395.63636
2020	285	17	43	54	57	634915.04818	10671398.16545
2020	285	17	43	56	59	634918.98909	10671400.58545
2020	285	17	43	58	62	634922.90545	10671403.02545
2020	285	17	44	0	64	634926.72909	10671405.57909
2020	285	17	44	2	66	634930.66818	10671407.99636
2020	285	17	44	4	69	634934.43818	10671410.53455
2020	285	17	44	6	71	634938.23455	10671413.01182
2020	285	17	44	8	73	634942.12727	10671415.49364
2020	285	17	44	10	75	634945.93545	10671418.04091
2020	285	17	44	12	78	634949.78545	10671420.53727
2020	285	17	44	14	80	634953.65455	10671423.06273
2020	285	17	44	16	82	634957.51273	10671425.63818
2020	285	17	44	18	85	634961.34727	10671428.16273
2020	285	17	44	20	87	634965.17091	10671430.74909
2020	285	17	44	22	89	634968.93364	10671433.26091
2020	285	17	44	24	91	634972.62455	10671435.80909
2020	285	17	44	26	94	634976.39455	10671438.26636
2020	285	17	44	28	96	634980.22273	10671440.73909
2020	285	17	44	30	98	634983.99636	10671443.23182
2020	285	17	44	32	101	634987.86727	10671445.65545
2020	285	17	44	34	103	634991.84545	10671448.16091
2020	285	17	44	36	105	634995.85273	10671450.67909
2020	285	17	44	38	108	634999.83091	10671453.14727
2020	285	17	44	40	110	635003.88727	10671455.72818
2020	285	17	44	42	112	635007.88818	10671458.24818
2020	285	17	44	44	115	635011.92182	10671460.78091
2020	285	17	44	46	117	635015.91000	10671463.26455
2020	285	17	44	48	119	635019.92364	10671465.78909
2020	285	17	44	50	122	635023.86364	10671468.28091
2020	285	17	44	52	124	635027.78818	10671470.79727
2020	285	17	44	54	127	635031.84727	10671473.33273
2020	285	17	44	56	129	635035.82636	10671475.89091
2020	285	17	44	58	131	635039.81909	10671478.47818
2020	285	17	45	0	134	635043.90091	10671481.13273
2020	285	17	45	2	136	635048.07091	10671483.72909
2020	285	17	45	4	139	635052.17364	10671486.30545
2020	285	17	45	6	141	635056.18818	10671488.88091
2020	285	17	45	8	143	635060.37364	10671491.47091
2020	285	17	45	10	146	635064.56364	10671494.11545
2020	285	17	45	12	148	635068.65545	10671496.73545
2020	285	17	45	14	151	635072.72636	10671499.32273
2020	285	17	45	16	153	635076.84545	10671501.95000
2020	285	17	45	18	156	635080.88182	10671504.65909
2020	285	17	45	20	158	635084.88909	10671507.20182
2020	285	17	45	22	160	635088.93455	10671509.84273
2020	285	17	45	24	163	635092.97455	10671512.47545
2020	285	17	45	26	165	635097.08182	10671515.11545
2020	285	17	45	28	168	635101.28364	10671517.74909
2020	285	17	45	30	170	635105.42545	10671520.48364
2020	285	17	45	32	173	635109.53909	10671523.25273
2020	285	17	45	34	175	635113.72000	10671525.93091
2020	285	17	45	36	178	635117.87273	10671528.77364
2020	285	17	45	38	180	635121.96636	10671531.63727
2020	285	17	45	40	183	635126.16727	10671534.49000
2020	285	17	45	42	185	635130.38273	10671537.22636
2020	285	17	45	44	188	635134.57455	10671540.05455
2020	285	17	45	46	190	635138.71091	10671542.91273
2020	285	17	45	48	193	635142.89273	10671545.70091
2020	285	17	45	50	195	635146.99455	10671548.53545
2020	285	17	45	52	198	635151.07727	10671551.38727
2020	285	17	45	54	200	635155.28273	10671554.29000
2020	285	17	45	56	203	635159.44000	10671557.16455
2020	285	17	45	58	205	635163.63909	10671560.13273
2020	285	17	46	0	208	635167.90545	10671563.07727
2020	285	17	46	2	211	635172.05182	10671566.05091
2020	285	17	46	4	213	635176.23727	10671569.01727
2020	285	17	46	6	216	635180.38182	10671572.10364
2020	285	17	46	8	218	635184.42909	10671575.06636
2020	285	17	46	10	221	635188.52091	10671577.96091
2020	285	17	46	12	223	635192.66455	10671580.93000
2020	285	17	46	14	226	635196.69727	10671583.94091
2020	285	17	46	16	228	635200.76273	10671586.86091
2020	285	17	46	18	231	635204.90545	10671589.75545
2020	285	17	46	20	233	635208.96636	10671592.73818
2020	285	17	46	22	236	635213.03273	10671595.64818
2020	285	17	46	24	238	635217.12636	10671598.51273
2020	285	17	46	26	241	635221.19000	10671601.46273
2020	285	17	46	28	243	635225.27000	10671604.43545
2020	285	17	46	30	246	635229.37818	10671607.30091
2020	285	17	46	32	248	635233.46000	10671610.21636
2020	285	17	46	34	251	635237.48727	10671613.20455
2020	285	17	46	36	253	635241.61818	10671616.02545
2020	285	17	46	38	256	635245.78636	10671618.87182
2020	285	17	46	40	258	635249.86273	10671621.82455
2020	285	17	46	42	261	635254.04273	10671624.65545
2020	285	17	46	44	263	635258.24091	10671627.43182
2020	285	17	46	46	266	635262.28727	10671630.23091
2020	285	17	46	48	268	635266.36000	10671633.08273
2020	285	17	46	50	271	635270.44000	10671635.89364
2020	285	17	46	52	273	635274.48182	10671638.76636
2020	285	17	46	54	276	635278.48636	10671641.63455
2020	285	17	46	56	278	635282.62727	10671644.50636
2020	285	17	46	58	281	635286.79273	10671647.33364
2020	285	17	47	0	283	635290.94273	10671650.16455
2020	285	17	47	2	286	635295.15455	10671652.84818
2020	285	17	47	4	288	635299.33273	10671655.58273
2020	285	17	47	6	291	635303.53000	10671658.37000
2020	285	17	47	8	293	635307.69455	10671661.16545
2020	285	17	47	10	296	635311.91545	10671663.92455
2020	285	17	47	12	298	635316.11818	10671666.73182
2020	285	17	47	14	301	635320.27727	10671669.59455
2020	285	17	47	16	304	635324.46818	10671672.39182
2020	285	17	47	18	306	635328.79182	10671675.14182
2020	285	17	47	20	309	635333.02091	10671677.94364
2020	285	17	47	22	311	635337.22818	10671680.74727
2020	285	17	47	24	314	635341.48545	10671683.48091
2020	285	17	47	26	316	635345.80818	10671686.18545
2020	285	17	47	28	319	635350.01455	10671688.99818
2020	285	17	47	30	321	635354.25636	10671691.75455
2020	285	17	47	32	324	635358.54818	10671694.48000
2020	285	17	47	34	326	635362.80636	10671697.35091
2020	285	17	47	36	329	635367.00091	10671700.15091
2020	285	17	47	38	331	635371.20455	10671703.03091
2020	285	17	47	40	334	635375.40455	10671705.83727
2020	285	17	47	42	337	635379.52909	10671708.76091
2020	285	17	47	44	339	635383.67727	10671711.64273
2020	285	17	47	46	342	635387.97636	10671714.47364
2020	285	17	47	48	344	635392.20545	10671717.38636
2020	285	17	47	50	347	635396.43455	10671720.22818
2020	285	17	47	52	349	635400.72455	10671723.12364
2020	285	17	47	54	352	635405.04818	10671725.98545
2020	285	17	47	56	354	635409.27818	10671728.87364
2020	285	17	47	58	357	635413.39909	10671731.79000
2020	285	17	48	0	360	635417.67000	10671734.66091
2020	285	17	48	2	362	635421.92909	10671737.59091
2020	285	17	48	4	365	635426.07091	10671740.45364
2020	285	17	48	6	367	635430.34000	10671743.37182
2020	285	17	48	8	370	635434.56818	10671746.28545
2020	285	17	48	10	372	635438.85273	10671749.17091
2020	285	17	48	12	375	635443.09909	10671751.99818
2020	285	17	48	14	378	635447.41727	10671754.90000
2020	285	17	48	16	380	635451.76091	10671757.73636
2020	285	17	48	18	383	635456.10909	10671760.51091
2020	285	17	48	20	385	635460.43000	10671763.22636
2020	285	17	48	22	388	635464.70818	10671766.05364
2020	285	17	48	24	390	635469.06273	10671768.82545
2020	285	17	48	26	393	635473.35273	10671771.61818
2020	285	17	48	28	396	635477.61727	10671774.36273
2020	285	17	48	30	398	635481.90909	10671777.14091
2020	285	17	48	32	401	635486.20273	10671779.97909
2020	285	17	48	34	403	635490.49091	10671782.76182
2020	285	17	48	36	406	635494.80545	10671785.44000
2020	285	17	48	38	408	635499.20909	10671788.12818
2020	285	17	48	40	411	635503.42545	10671790.79182
2020	285	17	48	42	413	635507.82182	10671793.46091
2020	285	17	48	44	416	635512.19091	10671796.13818
2020	285	17	48	46	418	635516.45182	10671798.91818
2020	285	17	48	48	421	635520.70818	10671801.65727
2020	285	17	48	50	424	635524.99545	10671804.49545
2020	285	17	48	52	426	635529.36545	10671807.27273
2020	285	17	48	54	429	635533.61545	10671810.03545
2020	285	17	48	56	431	635537.91727	10671812.70818
2020	285	17	48	58	434	635542.23091	10671815.35182
2020	285	17	49	0	436	635546.46000	10671818.10273
2020	285	17	49	2	439	635550.67000	10671820.86091
2020	285	17	49	4	441	635554.84727	10671823.62727
2020	285	17	49	6	444	635559.03091	10671826.44364
2020	285	17	49	8	446	635563.23455	10671829.28727
2020	285	17	49	10	449	635567.59364	10671832.11636
2020	285	17	49	12	452	635571.92364	10671834.83364
2020	285	17	49	14	454	635576.19636	10671837.59364
2020	285	17	49	16	457	635580.63909	10671840.33000
2020	285	17	49	18	459	635585.05364	10671843.10273
2020	285	17	49	20	462	635589.38273	10671845.91364
2020	285	17	49	22	464	635593.75000	10671848.65091
2020	285	17	49	24	467	635598.10727	10671851.41545
2020	285	17	49	26	470	635602.40545	10671854.30909
2020	285	17	49	28	472	635606.61818	10671857.08636
2020	285	17	49	30	475	635610.91091	10671859.82818
2020	285	17	49	32	477	635615.08909	10671862.69364
2020	285	17	49	34	480	635619.33727	10671865.49091
2020	285	17	49	36	482	635623.56455	10671868.23818
2020	285	17	49	38	485	635627.86818	10671871.03273
2020	285	17	49	40	487	635632.15182	10671873.76636
2020	285	17	49	42	490	635636.46182	10671876.49091
2020	285	17	49	44	492	635640.75273	10671879.18091
2020	285	17	49	46	495	635645.05273	10671881.87364
