YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
2020	284	6	24	40	9	612472.27667	10638414.10333
2020	284	6	24	42	11	612469.37400	10638417.40000
2020	284	6	24	44	14	612466.39286	10638421.14714
2020	284	6	24	46	16	612463.43545	10638424.76182
2020	284	6	24	48	18	612460.48909	10638428.43364
2020	284	6	24	50	21	612457.54455	10638432.09455
2020	284	6	24	52	23	612454.64455	10638435.68545
2020	284	6	24	54	25	612451.74545	10638439.34636
2020	284	6	24	56	28	612448.78182	10638443.04273
2020	284	6	24	58	30	612445.84818	10638446.75455
2020	284	6	25	0	33	612442.96727	10638450.40545
2020	284	6	25	2	35	612439.99182	10638454.19545
2020	284	6	25	4	37	612437.01636	10638457.95182
2020	284	6	25	6	40	612433.97636	10638461.81364
2020	284	6	25	8	42	612431.08545	10638465.51091
2020	284	6	25	10	45	612428.08636	10638469.29000
2020	284	6	25	12	47	612425.13727	10638473.05636
2020	284	6	25	14	49	612422.11727	10638476.82182
2020	284	6	25	16	52	612419.16909	10638480.58182
2020	284	6	25	18	54	612416.15364	10638484.30636
2020	284	6	25	20	57	612412.99818	10638488.09545
2020	284	6	25	22	59	612409.96091	10638491.76091
2020	284	6	25	24	61	612406.83091	10638495.42545
2020	284	6	25	26	64	612403.73727	10638499.07364
2020	284	6	25	28	66	612400.60545	10638502.74909
2020	284	6	25	30	69	612397.51364	10638506.47182
2020	284	6	25	32	71	612394.45364	10638510.22182
2020	284	6	25	34	73	612391.41000	10638513.99545
2020	284	6	25	36	76	612388.38273	10638517.78273
2020	284	6	25	38	78	612385.35545	10638521.60636
2020	284	6	25	40	81	612382.38909	10638525.45545
2020	284	6	25	42	83	612379.40727	10638529.33455
2020	284	6	25	44	86	612376.46455	10638533.17455
2020	284	6	25	46	88	612373.54455	10638537.07182
2020	284	6	25	48	90	612370.69727	10638540.91364
2020	284	6	25	50	93	612367.76091	10638544.79364
2020	284	6	25	52	95	612364.92000	10638548.68909
2020	284	6	25	54	98	612362.02455	10638552.54364
2020	284	6	25	56	100	612359.18818	10638556.38364
2020	284	6	25	58	102	612356.39000	10638560.16182
2020	284	6	26	0	105	612353.51909	10638564.06545
2020	284	6	26	2	107	612350.66545	10638567.90818
2020	284	6	26	4	110	612347.80818	10638571.71273
2020	284	6	26	6	112	612345.02818	10638575.50636
2020	284	6	26	8	114	612342.16545	10638579.40818
2020	284	6	26	10	117	612339.32818	10638583.38182
2020	284	6	26	12	119	612336.52636	10638587.28455
2020	284	6	26	14	122	612333.69091	10638591.20818
2020	284	6	26	16	124	612330.82818	10638595.31909
2020	284	6	26	18	127	612328.01000	10638599.18455
2020	284	6	26	20	129	612325.21364	10638603.07273
2020	284	6	26	22	131	612322.36818	10638606.97091
2020	284	6	26	24	134	612319.59364	10638610.83364
2020	284	6	26	26	136	612316.79273	10638614.70636
2020	284	6	26	28	139	612313.94455	10638618.57636
2020	284	6	26	30	141	612311.15000	10638622.42000
2020	284	6	26	32	143	612308.33000	10638626.17455
2020	284	6	26	34	146	612305.48273	10638629.98182
2020	284	6	26	36	148	612302.59545	10638633.78727
2020	284	6	26	38	150	612299.76273	10638637.53273
2020	284	6	26	40	153	612296.86636	10638641.23364
2020	284	6	26	42	155	612294.06273	10638644.94273
2020	284	6	26	44	157	612291.20727	10638648.59818
2020	284	6	26	46	160	612288.39636	10638652.18545
2020	284	6	26	48	162	612285.45909	10638655.80909
2020	284	6	26	50	164	612282.51091	10638659.47909
2020	284	6	26	52	167	612279.64727	10638663.07182
2020	284	6	26	54	169	612276.60000	10638666.69727
2020	284	6	26	56	171	612273.65364	10638670.31000
2020	284	6	26	58	174	612270.67364	10638673.90909
2020	284	6	27	0	176	612267.71364	10638677.48455
2020	284	6	27	2	178	612264.73364	10638681.06364
2020	284	6	27	4	181	612261.79000	10638684.62455
2020	284	6	27	6	183	612258.87455	10638688.23909
2020	284	6	27	8	185	612255.84455	10638691.79636
2020	284	6	27	10	188	612252.91818	10638695.33727
2020	284	6	27	12	190	612249.94909	10638698.91455
2020	284	6	27	14	192	612246.91182	10638702.50000
2020	284	6	27	16	195	612244.02182	10638706.08909
2020	284	6	27	18	197	612241.05000	10638709.69273
2020	284	6	27	20	199	612238.15727	10638713.33000
2020	284	6	27	22	202	612235.21636	10638717.07909
2020	284	6	27	24	204	612232.32909	10638720.82818
2020	284	6	27	26	206	612229.40545	10638724.59636
2020	284	6	27	28	209	612226.49364	10638728.33818
2020	284	6	27	30	211	612223.67091	10638732.11636
2020	284	6	27	32	213	612220.78727	10638735.97091
2020	284	6	27	34	216	612217.91091	10638739.77909
2020	284	6	27	36	218	612215.18182	10638743.55818
2020	284	6	27	38	221	612212.38455	10638747.51091
2020	284	6	27	40	223	612209.54727	10638751.42636
2020	284	6	27	42	225	612206.75000	10638755.32727
2020	284	6	27	44	228	612203.96727	10638759.23455
2020	284	6	27	46	230	612201.11818	10638763.20000
2020	284	6	27	48	233	612198.28545	10638767.02727
2020	284	6	27	50	235	612195.54727	10638770.76818
2020	284	6	27	52	237	612192.76545	10638774.63091
2020	284	6	27	54	240	612189.92091	10638778.51000
2020	284	6	27	56	242	612187.09818	10638782.41364
2020	284	6	27	58	245	612184.27091	10638786.38909
2020	284	6	28	0	247	612181.35636	10638790.48818
2020	284	6	28	2	250	612178.48818	10638794.43636
2020	284	6	28	4	252	612175.65364	10638798.34182
2020	284	6	28	6	254	612172.82818	10638802.25000
2020	284	6	28	8	257	612170.00455	10638806.16545
2020	284	6	28	10	259	612167.15545	10638809.95818
2020	284	6	28	12	262	612164.26636	10638813.87000
2020	284	6	28	14	264	612161.44091	10638817.77636
2020	284	6	28	16	266	612158.55636	10638821.70182
2020	284	6	28	18	269	612155.64000	10638825.60636
2020	284	6	28	20	271	612152.78455	10638829.56455
2020	284	6	28	22	274	612149.98091	10638833.54727
2020	284	6	28	24	276	612147.12909	10638837.51364
2020	284	6	28	26	279	612144.27727	10638841.37091
2020	284	6	28	28	281	612141.49909	10638845.34909
2020	284	6	28	30	283	612138.69273	10638849.36273
2020	284	6	28	32	286	612135.79182	10638853.38636
2020	284	6	28	34	288	612132.97364	10638857.40091
2020	284	6	28	36	291	612130.10818	10638861.43727
2020	284	6	28	38	293	612127.20909	10638865.55727
2020	284	6	28	40	296	612124.43000	10638869.33273
2020	284	6	28	42	298	612121.53273	10638873.34727
2020	284	6	28	44	301	612118.58727	10638877.28727
2020	284	6	28	46	303	612115.67273	10638881.22455
2020	284	6	28	48	306	612112.76636	10638885.08000
2020	284	6	28	50	308	612109.75455	10638889.06182
2020	284	6	28	52	311	612106.73909	10638893.03545
2020	284	6	28	54	313	612103.81636	10638896.84909
2020	284	6	28	56	315	612100.81636	10638900.70818
2020	284	6	28	58	318	612097.89182	10638904.58273
2020	284	6	29	0	320	612094.86636	10638908.51091
2020	284	6	29	2	323	612091.93273	10638912.35364
2020	284	6	29	4	325	612089.02455	10638916.19909
2020	284	6	29	6	328	612085.99000	10638920.17545
2020	284	6	29	8	330	612082.96727	10638924.03727
2020	284	6	29	10	333	612079.95545	10638927.89182
2020	284	6	29	12	335	612076.92273	10638931.77364
2020	284	6	29	14	337	612073.87818	10638935.54545
2020	284	6	29	16	340	612070.84182	10638939.33909
2020	284	6	29	18	342	612067.78364	10638943.18364
2020	284	6	29	20	345	612064.73455	10638947.02818
2020	284	6	29	22	347	612061.64818	10638950.80455
2020	284	6	29	24	350	612058.60909	10638954.53636
2020	284	6	29	26	352	612055.48636	10638958.34727
2020	284	6	29	28	355	612052.37455	10638962.11636
2020	284	6	29	30	357	612049.25636	10638965.84545
2020	284	6	29	32	359	612046.13182	10638969.63727
2020	284	6	29	34	362	612043.05182	10638973.44000
2020	284	6	29	36	364	612040.03364	10638977.23091
2020	284	6	29	38	367	612036.99909	10638981.01545
2020	284	6	29	40	369	612034.05182	10638984.85000
2020	284	6	29	42	371	612031.14000	10638988.57818
2020	284	6	29	44	374	612028.17909	10638992.38455
2020	284	6	29	46	376	612025.18091	10638996.21364
2020	284	6	29	48	379	612022.20273	10639000.00818
2020	284	6	29	50	381	612019.34364	10639003.65273
2020	284	6	29	52	384	612016.26000	10639007.54636
2020	284	6	29	54	386	612013.27273	10639011.26545
2020	284	6	29	56	388	612010.26818	10639015.05455
2020	284	6	29	58	391	612007.29909	10639018.72909
2020	284	6	30	0	393	612004.07091	10639022.57182
2020	284	6	30	2	396	612001.03182	10639026.17818
2020	284	6	30	4	398	611998.01636	10639029.76273
2020	284	6	30	6	400	611994.98818	10639033.28455
2020	284	6	30	8	403	611991.92000	10639036.77000
2020	284	6	30	10	405	611988.92727	10639040.27273
2020	284	6	30	12	407	611985.90545	10639043.69909
2020	284	6	30	14	409	611982.87818	10639047.10000
2020	284	6	30	16	412	611979.80182	10639050.51818
2020	284	6	30	18	414	611976.69727	10639054.00000
2020	284	6	30	20	416	611973.69182	10639057.40818
2020	284	6	30	22	419	611970.63273	10639060.92273
2020	284	6	30	24	421	611967.52818	10639064.44727
2020	284	6	30	26	423	611964.54818	10639067.98727
2020	284	6	30	28	426	611961.58545	10639071.47091
2020	284	6	30	30	428	611958.57000	10639074.94818
2020	284	6	30	32	430	611955.56727	10639078.42727
2020	284	6	30	34	432	611952.62909	10639081.88091
2020	284	6	30	36	435	611949.62818	10639085.38182
2020	284	6	30	38	437	611946.57727	10639088.83182
2020	284	6	30	40	439	611943.63727	10639092.28364
2020	284	6	30	42	442	611940.66182	10639095.82727
2020	284	6	30	44	444	611937.64636	10639099.42364
2020	284	6	30	46	446	611934.72455	10639102.95091
2020	284	6	30	48	449	611931.78273	10639106.55364
2020	284	6	30	50	451	611928.89636	10639110.28455
2020	284	6	30	52	453	611926.07182	10639113.96273
2020	284	6	30	54	456	611923.24727	10639117.59636
2020	284	6	30	56	458	611920.48273	10639121.32909
2020	284	6	30	58	460	611917.72727	10639125.06818
2020	284	6	31	0	463	611914.97000	10639128.83909
2020	284	6	31	2	465	611912.24909	10639132.66091
2020	284	6	31	4	467	611909.54182	10639136.52909
2020	284	6	31	6	470	611906.84545	10639140.41091
2020	284	6	31	8	472	611904.16818	10639144.37727
2020	284	6	31	10	474	611901.60455	10639148.34909
2020	284	6	31	12	477	611899.01000	10639152.26818
2020	284	6	31	14	479	611896.45273	10639156.07909
2020	284	6	31	16	481	611893.89364	10639160.06636
2020	284	6	31	18	484	611891.20182	10639163.99000
2020	284	6	31	20	486	611888.45545	10639167.84909
2020	284	6	31	22	489	611885.72545	10639171.66727
2020	284	6	31	24	491	611882.91091	10639175.59364
