NAME	DATE	YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
20AN3F05	24.09.2020	2020	268	1	23	28	52	1248886.075	10651459.51
20AN3F05	24.09.2020	2020	268	1	23	30	54	1248890.971	10651458.17
20AN3F05	24.09.2020	2020	268	1	23	32	55	1248895.851	10651456.83
20AN3F05	24.09.2020	2020	268	1	23	34	57	1248900.73	10651455.5
20AN3F05	24.09.2020	2020	268	1	23	36	58	1248905.629	10651454.16
20AN3F05	24.09.2020	2020	268	1	23	38	60	1248910.505	10651452.83
20AN3F05	24.09.2020	2020	268	1	23	40	62	1248915.435	10651451.48
20AN3F05	24.09.2020	2020	268	1	23	42	63	1248920.314	10651450.15
20AN3F05	24.09.2020	2020	268	1	23	44	65	1248925.224	10651448.81
20AN3F05	24.09.2020	2020	268	1	23	46	67	1248930.066	10651447.43
20AN3F05	24.09.2020	2020	268	1	23	48	68	1248934.941	10651446.12
20AN3F05	24.09.2020	2020	268	1	23	50	70	1248939.783	10651444.83
20AN3F05	24.09.2020	2020	268	1	23	52	71	1248944.668	10651443.55
20AN3F05	24.09.2020	2020	268	1	23	54	73	1248949.545	10651442.23
20AN3F05	24.09.2020	2020	268	1	23	56	75	1248954.466	10651440.95
20AN3F05	24.09.2020	2020	268	1	23	58	76	1248959.401	10651439.65
20AN3F05	24.09.2020	2020	268	1	24	0	78	1248964.381	10651438.38
20AN3F05	24.09.2020	2020	268	1	24	2	80	1248969.33	10651437.08
20AN3F05	24.09.2020	2020	268	1	24	4	81	1248974.327	10651435.79
20AN3F05	24.09.2020	2020	268	1	24	6	83	1248979.295	10651434.5
20AN3F05	24.09.2020	2020	268	1	24	8	84	1248984.273	10651433.19
20AN3F05	24.09.2020	2020	268	1	24	10	86	1248989.23	10651431.91
20AN3F05	24.09.2020	2020	268	1	24	12	88	1248994.176	10651430.62
20AN3F05	24.09.2020	2020	268	1	24	14	89	1248999.135	10651429.39
20AN3F05	24.09.2020	2020	268	1	24	16	91	1249004.037	10651428.17
20AN3F05	24.09.2020	2020	268	1	24	18	93	1249009.015	10651426.97
20AN3F05	24.09.2020	2020	268	1	24	20	94	1249013.93	10651425.78
20AN3F05	24.09.2020	2020	268	1	24	22	96	1249018.89	10651424.59
20AN3F05	24.09.2020	2020	268	1	24	24	98	1249023.82	10651423.33
20AN3F05	24.09.2020	2020	268	1	24	26	99	1249028.797	10651422.08
20AN3F05	24.09.2020	2020	268	1	24	28	101	1249033.732	10651420.76
20AN3F05	24.09.2020	2020	268	1	24	30	102	1249038.663	10651419.44
20AN3F05	24.09.2020	2020	268	1	24	32	104	1249043.591	10651418.06
20AN3F05	24.09.2020	2020	268	1	24	34	106	1249048.516	10651416.69
20AN3F05	24.09.2020	2020	268	1	24	36	107	1249053.439	10651415.23
20AN3F05	24.09.2020	2020	268	1	24	38	109	1249058.338	10651413.81
20AN3F05	24.09.2020	2020	268	1	24	40	111	1249063.286	10651412.34
20AN3F05	24.09.2020	2020	268	1	24	42	112	1249068.211	10651410.88
20AN3F05	24.09.2020	2020	268	1	24	44	114	1249073.19	10651409.37
20AN3F05	24.09.2020	2020	268	1	24	46	116	1249078.141	10651407.89
