YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
2020	283	22	19	44	59	601160.09229	10672311.34122
2020	283	22	19	46	61	601163.67207	10672308.42291
2020	283	22	19	48	62	601167.26048	10672305.49757
2020	283	22	19	50	64	601170.85542	10672302.56691
2020	283	22	19	52	65	601174.45173	10672299.63513
2020	283	22	19	54	67	601177.95977	10672296.61556
2020	283	22	19	56	68	601181.60619	10672293.77695
2020	283	22	19	58	70	601185.22467	10672290.92841
2020	283	22	20	0	71	601188.92112	10672288.01135
2020	283	22	20	2	73	601192.60681	10672285.06000
2020	283	22	20	4	74	601196.24718	10672282.15750
2020	283	22	20	6	76	601199.90644	10672279.22804
2020	283	22	20	8	77	601203.60731	10672276.23876
2020	283	22	20	10	79	601207.32094	10672273.35600
2020	283	22	20	12	80	601210.96754	10672270.49750
2020	283	22	20	14	82	601214.58470	10672267.52141
2020	283	22	20	16	83	601218.27229	10672264.56385
2020	283	22	20	18	85	601221.98438	10672261.77404
2020	283	22	20	20	86	601225.59044	10672258.86601
2020	283	22	20	22	88	601229.15604	10672255.82512
2020	283	22	20	24	89	601232.80668	10672252.93212
2020	283	22	20	26	91	601236.47290	10672250.18030
2020	283	22	20	28	92	601240.05289	10672247.27412
2020	283	22	20	30	94	601243.62990	10672244.25279
2020	283	22	20	32	95	601247.24912	10672241.33749
2020	283	22	20	34	97	601250.84458	10672238.51218
2020	283	22	20	36	98	601254.38370	10672235.60005
2020	283	22	20	38	100	601257.88457	10672232.56940
2020	283	22	20	40	101	601261.39204	10672229.55227
2020	283	22	20	42	102	601264.87910	10672226.58097
2020	283	22	20	44	104	601268.33360	10672223.56711
2020	283	22	20	46	105	601271.74059	10672220.50635
2020	283	22	20	48	107	601275.14891	10672217.38405
2020	283	22	20	50	108	601278.52481	10672214.26010
2020	283	22	20	52	110	601281.89927	10672211.13945
2020	283	22	20	54	111	601285.24597	10672208.04212
2020	283	22	20	56	113	601288.60390	10672204.91887
2020	283	22	20	58	114	601291.91534	10672201.76394
2020	283	22	21	0	116	601295.22908	10672198.58978
2020	283	22	21	2	117	601298.57264	10672195.43630
2020	283	22	21	4	119	601301.88626	10672192.23550
2020	283	22	21	6	120	601305.18840	10672189.00789
2020	283	22	21	8	121	601308.48886	10672185.85479
2020	283	22	21	10	123	601311.83211	10672182.69962
2020	283	22	21	12	124	601315.21798	10672179.58291
2020	283	22	21	14	126	601318.61385	10672176.54087
2020	283	22	21	16	127	601321.98953	10672173.53001
2020	283	22	21	18	129	601325.39522	10672170.44122
2020	283	22	21	20	130	601328.89206	10672167.44313
2020	283	22	21	22	132	601332.38065	10672164.55631
2020	283	22	21	24	133	601335.82171	10672161.55022
2020	283	22	21	26	135	601339.29056	10672158.45090
2020	283	22	21	28	136	601342.85849	10672155.52923
2020	283	22	21	30	138	601346.41991	10672152.65436
2020	283	22	21	32	139	601349.93995	10672149.63721
2020	283	22	21	34	141	601353.49840	10672146.62068
2020	283	22	21	36	142	601357.12194	10672143.75411
2020	283	22	21	38	144	601360.75737	10672140.94866
2020	283	22	21	40	145	601364.36807	10672137.98485
2020	283	22	21	42	147	601367.98005	10672134.97152
2020	283	22	21	44	148	601371.61038	10672132.03538
2020	283	22	21	46	150	601375.26013	10672129.18166
2020	283	22	21	48	151	601378.87845	10672126.21837
2020	283	22	21	50	153	601382.50635	10672123.16656
2020	283	22	21	52	154	601386.17756	10672120.25453
2020	283	22	21	54	156	601389.83060	10672117.40537
2020	283	22	21	56	157	601393.44892	10672114.46829
2020	283	22	21	58	159	601397.12927	10672111.46489
2020	283	22	22	0	160	601400.80580	10672108.55922
2020	283	22	22	2	162	601404.38270	10672105.65036
2020	283	22	22	4	163	601407.94270	10672102.70327
2020	283	22	22	6	165	601411.53833	10672099.75558
2020	283	22	22	8	166	601415.09094	10672096.85863
2020	283	22	22	10	167	601418.56040	10672093.93790
2020	283	22	22	12	169	601422.04318	10672090.97261
2020	283	22	22	14	170	601425.53248	10672088.00045
2020	283	22	22	16	172	601429.01980	10672085.06099
2020	283	22	22	18	173	601432.48059	10672082.11051
2020	283	22	22	20	175	601435.88425	10672079.02573
2020	283	22	22	22	176	601439.29077	10672075.87175
2020	283	22	22	24	178	601442.70598	10672072.77869
2020	283	22	22	26	179	601446.07237	10672069.64480
2020	283	22	22	28	181	601449.33347	10672066.34014
2020	283	22	22	30	182	601452.62495	10672062.94473
2020	283	22	22	32	184	601455.93024	10672059.64213
2020	283	22	22	34	185	601459.16750	10672056.35832
2020	283	22	22	36	187	601462.39455	10672053.03225
2020	283	22	22	38	188	601465.65986	10672049.68889
2020	283	22	22	40	190	601468.98082	10672046.41253
2020	283	22	22	42	191	601472.27728	10672043.22771
