YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
2020	285	11	48	1	217	595742.82902	10645022.80935
2020	285	11	48	3	218	595746.73934	10645025.62083
2020	285	11	48	5	220	595750.65737	10645028.41331
2020	285	11	48	7	221	595754.57137	10645031.22018
2020	285	11	48	9	223	595758.50253	10645034.05639
2020	285	11	48	11	225	595762.47134	10645036.85270
2020	285	11	48	13	226	595766.40056	10645039.65480
2020	285	11	48	15	228	595770.34959	10645042.41938
2020	285	11	48	17	229	595774.31518	10645045.21912
2020	285	11	48	19	231	595778.29615	10645048.00152
2020	285	11	48	21	232	595782.26699	10645050.77359
2020	285	11	48	23	234	595786.22793	10645053.54244
2020	285	11	48	25	235	595790.22042	10645056.27008
2020	285	11	48	27	237	595794.20025	10645059.03475
2020	285	11	48	29	238	595798.14738	10645061.76454
2020	285	11	48	31	240	595802.11406	10645064.47649
2020	285	11	48	33	242	595806.04147	10645067.16981
2020	285	11	48	35	243	595809.98837	10645069.86235
2020	285	11	48	37	245	595813.90618	10645072.56728
2020	285	11	48	39	246	595817.84008	10645075.24087
2020	285	11	48	41	248	595821.78669	10645077.89265
2020	285	11	48	43	249	595825.71497	10645080.57534
2020	285	11	48	45	251	595829.70351	10645083.22629
2020	285	11	48	47	252	595833.69072	10645085.86793
2020	285	11	48	49	254	595837.68929	10645088.49205
2020	285	11	48	51	255	595841.72859	10645091.08527
2020	285	11	48	53	257	595845.77584	10645093.68513
2020	285	11	48	55	258	595849.86394	10645096.22016
2020	285	11	48	57	260	595853.94418	10645098.77065
2020	285	11	48	59	261	595858.04663	10645101.31090
2020	285	11	49	1	263	595862.16248	10645103.84582
2020	285	11	49	3	264	595866.27756	10645106.40591
2020	285	11	49	5	266	595870.38181	10645108.97631
2020	285	11	49	7	268	595874.47680	10645111.58557
2020	285	11	49	9	269	595878.57362	10645114.19716
2020	285	11	49	11	271	595882.65322	10645116.85024
2020	285	11	49	13	272	595886.69140	10645119.52484
2020	285	11	49	15	274	595890.72864	10645122.20934
2020	285	11	49	17	275	595894.76157	10645124.91266
2020	285	11	49	19	277	595898.76403	10645127.68567
2020	285	11	49	21	279	595902.75076	10645130.44886
2020	285	11	49	23	280	595906.72607	10645133.25596
2020	285	11	49	25	282	595910.68396	10645136.07408
2020	285	11	49	27	283	595914.61804	10645138.97711
2020	285	11	49	29	285	595918.55377	10645141.85922
2020	285	11	49	31	286	595922.44634	10645144.77692
2020	285	11	49	33	288	595926.34615	10645147.67771
2020	285	11	49	35	289	595930.23898	10645150.61366
2020	285	11	49	37	291	595934.18786	10645153.54075
2020	285	11	49	39	293	595938.11411	10645156.45208
2020	285	11	49	41	294	595942.02923	10645159.35206
2020	285	11	49	43	296	595945.96392	10645162.23923
2020	285	11	49	45	297	595949.93119	10645165.13937
2020	285	11	49	47	299	595953.89893	10645168.02058
2020	285	11	49	49	300	595957.82966	10645170.87714
2020	285	11	49	51	302	595961.80511	10645173.66660
2020	285	11	49	53	303	595965.82611	10645176.46114
2020	285	11	49	55	305	595969.85249	10645179.25756
2020	285	11	49	57	307	595973.86924	10645182.01303
2020	285	11	49	59	308	595977.91242	10645184.70804
2020	285	11	50	1	310	595981.97147	10645187.42315
2020	285	11	50	3	311	595986.08231	10645190.13144
2020	285	11	50	5	313	595990.15794	10645192.83550
2020	285	11	50	7	314	595994.29682	10645195.45417
2020	285	11	50	9	316	595998.42646	10645198.06874
2020	285	11	50	11	318	596002.58464	10645200.70629
2020	285	11	50	13	319	596006.74728	10645203.29953
2020	285	11	50	15	321	596010.88189	10645205.90675
2020	285	11	50	17	322	596015.04445	10645208.47228
2020	285	11	50	19	324	596019.15115	10645211.11029
2020	285	11	50	21	325	596023.26594	10645213.75338
2020	285	11	50	23	327	596027.35469	10645216.39511
2020	285	11	50	25	329	596031.42365	10645219.08034
2020	285	11	50	27	330	596035.47629	10645221.75015
2020	285	11	50	29	332	596039.51080	10645224.47173
2020	285	11	50	31	333	596043.54222	10645227.17610
2020	285	11	50	33	335	596047.55030	10645229.90553
2020	285	11	50	35	336	596051.55527	10645232.65019
2020	285	11	50	37	338	596055.54283	10645235.38169
2020	285	11	50	39	339	596059.52906	10645238.14910
2020	285	11	50	41	341	596063.50580	10645240.91787
2020	285	11	50	43	342	596067.51219	10645243.67314
2020	285	11	50	45	344	596071.48735	10645246.43055
2020	285	11	50	47	346	596075.48427	10645249.14838
2020	285	11	50	49	347	596079.50517	10645251.90337
2020	285	11	50	51	349	596083.54292	10645254.59843
2020	285	11	50	53	350	596087.56452	10645257.31546
2020	285	11	50	55	352	596091.60046	10645259.99781
2020	285	11	50	57	353	596095.64508	10645262.69497
2020	285	11	50	59	355	596099.69018	10645265.40234
2020	285	11	51	1	356	596103.70201	10645268.08294
2020	285	11	51	3	358	596107.72120	10645270.75897
2020	285	11	51	5	360	596111.72374	10645273.41777
2020	285	11	51	7	361	596115.73710	10645276.09498
2020	285	11	51	9	363	596119.74157	10645278.76475
2020	285	11	51	11	364	596123.72775	10645281.42480
2020	285	11	51	13	366	596127.67442	10645284.13152
2020	285	11	51	15	367	596131.61286	10645286.84345
2020	285	11	51	17	369	596135.55150	10645289.60927
2020	285	11	51	19	370	596139.47412	10645292.37402
2020	285	11	51	21	372	596143.40702	10645295.14619
2020	285	11	51	23	373	596147.35807	10645297.91800
2020	285	11	51	25	375	596151.32976	10645300.68709
2020	285	11	51	27	376	596155.35033	10645303.43616
2020	285	11	51	29	378	596159.36649	10645306.17086
2020	285	11	51	31	380	596163.38891	10645308.88982
2020	285	11	51	33	381	596167.40840	10645311.58908
2020	285	11	51	35	383	596171.47493	10645314.28771
2020	285	11	51	37	384	596175.51633	10645317.02279
2020	285	11	51	39	386	596179.56314	10645319.72568
2020	285	11	51	41	387	596183.58078	10645322.45461
2020	285	11	51	43	389	596187.60946	10645325.20273
2020	285	11	51	45	391	596191.62063	10645327.98852
2020	285	11	51	47	392	596195.64065	10645330.76388
2020	285	11	51	49	394	596199.64381	10645333.55459
2020	285	11	51	51	395	596203.66131	10645336.32796
2020	285	11	51	53	397	596207.68674	10645339.11642
2020	285	11	51	55	398	596211.71790	10645341.91955
2020	285	11	51	57	400	596215.75479	10645344.69007
2020	285	11	51	59	401	596219.77694	10645347.46194
2020	285	11	52	1	403	596223.81583	10645350.22595
2020	285	11	52	3	405	596227.87066	10645353.00113
2020	285	11	52	5	406	596231.92015	10645355.77291
2020	285	11	52	7	408	596235.98455	10645358.49824
2020	285	11	52	9	409	596240.05911	10645361.24421
2020	285	11	52	11	411	596244.15012	10645363.97398
2020	285	11	52	13	412	596248.21038	10645366.73962
2020	285	11	52	15	414	596252.30906	10645369.43843
2020	285	11	52	17	416	596256.38058	10645372.14919
2020	285	11	52	19	417	596260.48377	10645374.86232
2020	285	11	52	21	419	596264.57020	10645377.54481
2020	285	11	52	23	420	596268.67286	10645380.21569
2020	285	11	52	25	422	596272.76930	10645382.86123
2020	285	11	52	27	423	596276.85939	10645385.52913
2020	285	11	52	29	425	596280.95551	10645388.18870
2020	285	11	52	31	427	596284.99608	10645390.86633
2020	285	11	52	33	428	596289.06617	10645393.53122
2020	285	11	52	35	430	596293.09727	10645396.22097
2020	285	11	52	37	431	596297.13456	10645398.93280
2020	285	11	52	39	433	596301.18098	10645401.61566
2020	285	11	52	41	434	596305.22906	10645404.30464
2020	285	11	52	43	436	596309.27733	10645407.00746
2020	285	11	52	45	437	596313.30926	10645409.70779
2020	285	11	52	47	439	596317.38796	10645412.37844
2020	285	11	52	49	441	596321.45117	10645415.04862
2020	285	11	52	51	442	596325.52058	10645417.72099
2020	285	11	52	53	444	596329.58506	10645420.38026
