YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
2020	284	6	24	40	49	612466.70788	10638392.72115
2020	284	6	24	42	50	612463.85070	10638396.42998
2020	284	6	24	44	52	612460.98986	10638400.14357
2020	284	6	24	46	53	612458.13881	10638403.84445
2020	284	6	24	48	55	612455.28073	10638407.55445
2020	284	6	24	50	56	612452.42310	10638411.26387
2020	284	6	24	52	57	612449.57611	10638414.95948
2020	284	6	24	54	59	612446.69991	10638418.69300
2020	284	6	24	56	61	612443.82163	10638422.42923
2020	284	6	24	58	62	612440.92738	10638426.18617
2020	284	6	25	0	64	612438.02608	10638429.95228
2020	284	6	25	2	65	612435.11468	10638433.73149
2020	284	6	25	4	67	612432.19487	10638437.52392
2020	284	6	25	6	68	612429.26849	10638441.31189
2020	284	6	25	8	70	612426.34710	10638445.13051
2020	284	6	25	10	71	612423.39222	10638448.90336
2020	284	6	25	12	73	612420.41264	10638452.65665
2020	284	6	25	14	74	612417.44673	10638456.43983
2020	284	6	25	16	76	612414.38803	10638460.14316
2020	284	6	25	18	77	612411.31930	10638463.82868
2020	284	6	25	20	79	612408.25845	10638467.52955
2020	284	6	25	22	80	612405.14124	10638471.22667
2020	284	6	25	24	82	612402.01636	10638474.88892
2020	284	6	25	26	84	612398.91425	10638478.61025
2020	284	6	25	28	85	612395.83867	10638482.32958
2020	284	6	25	30	87	612392.71145	10638486.03259
2020	284	6	25	32	88	612389.64701	10638489.77541
2020	284	6	25	34	90	612386.58850	10638493.56414
2020	284	6	25	36	91	612383.52645	10638497.32761
2020	284	6	25	38	93	612380.50807	10638501.12922
2020	284	6	25	40	94	612377.48883	10638504.97398
2020	284	6	25	42	96	612374.49023	10638508.82050
2020	284	6	25	44	98	612371.51495	10638512.66715
2020	284	6	25	46	99	612368.55086	10638516.54379
2020	284	6	25	48	101	612365.59958	10638520.40842
2020	284	6	25	50	102	612362.67864	10638524.30284
2020	284	6	25	52	104	612359.75438	10638528.15402
